[2026-08-06T21:41:25.862Z] COMPANY: "Reliance Industries Limited" | QUERIES: ["Reliance Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 220ms | REASON: Resolved via self-search
[2026-08-06T21:41:30.447Z] COMPANY: "ICICI Lombard General Insurance Company Limited" | QUERIES: ["ICICI Lombard General Insurance Company Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1569ms | REASON: Resolved via self-search
[2026-08-06T21:41:32.011Z] COMPANY: "ICICI Prudential Life Insurance Company Limited" | QUERIES: ["ICICI Prudential Life Insurance Company Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1563ms | REASON: Resolved via self-search
[2026-08-06T21:41:33.583Z] COMPANY: "HDFC Asset Management Company Limited" | QUERIES: ["HDFC Asset Management Company Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-06T21:41:35.156Z] COMPANY: "Nippon Life India Asset Management Limited" | QUERIES: ["Nippon Life India Asset Management Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1572ms | REASON: Resolved via self-search
[2026-08-06T21:41:36.727Z] COMPANY: "Tata Consultancy Services Limited" | QUERIES: ["Tata Consultancy Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1569ms | REASON: Resolved via self-search
[2026-08-06T21:41:38.295Z] COMPANY: "Infosys Limited" | QUERIES: ["Infosys Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1567ms | REASON: Resolved via self-search
[2026-08-06T21:41:39.868Z] COMPANY: "Wipro Limited" | QUERIES: ["Wipro Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1572ms | REASON: Resolved via self-search
[2026-08-06T21:41:41.442Z] COMPANY: "HCL Technologies Limited" | QUERIES: ["HCL Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1570ms | REASON: Resolved via self-search
[2026-08-06T21:41:43.004Z] COMPANY: "Tech Mahindra Limited" | QUERIES: ["Tech Mahindra Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1561ms | REASON: Resolved via self-search
[2026-08-06T21:41:44.569Z] COMPANY: "LTIMindtree Limited" | QUERIES: ["LTIMindtree Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1564ms | REASON: Resolved via self-search
[2026-08-06T21:41:46.134Z] COMPANY: "Persistent Systems Limited" | QUERIES: ["Persistent Systems Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1561ms | REASON: Resolved via self-search
[2026-08-06T21:41:47.697Z] COMPANY: "Mphasis Limited" | QUERIES: ["Mphasis Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1562ms | REASON: Resolved via self-search
[2026-08-06T21:41:49.261Z] COMPANY: "Coforge Limited" | QUERIES: ["Coforge Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1562ms | REASON: Resolved via self-search
[2026-08-06T21:41:50.827Z] COMPANY: "Oracle Financial Services Software Limited" | QUERIES: ["Oracle Financial Services Software Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1565ms | REASON: Resolved via self-search
[2026-08-06T21:41:52.396Z] COMPANY: "L&T Technology Services Limited" | QUERIES: ["L&T Technology Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1568ms | REASON: Resolved via self-search
