Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"11","Unassigned","AAA Technologies Limited","https://www.aaatech.in","readymade-fallback","HIGH","NO","N/A","info@aaatech.in","[General Contact Email (Guessed Pattern)] info@aaatech.in; [Investor Grievance Email (Guessed Pattern)] contact@aaatech.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"12","Unassigned","Aadhar Housing Finance Limited","https://www.aadharhousing.com","readymade-fallback","HIGH","NO","N/A","info@aadharhousing.com","[General Contact Email (Guessed Pattern)] info@aadharhousing.com; [Investor Grievance Email (Guessed Pattern)] contact@aadharhousing.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"13","Unassigned","Aakash Exploration Services Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"14","Unassigned","Aarey Drugs & Pharmaceuticals Limited","https://www.aareydrugs.com","readymade-fallback","HIGH","NO","N/A","info@aareydrugs.com","[General Contact Email (Guessed Pattern)] info@aareydrugs.com; [Investor Grievance Email (Guessed Pattern)] contact@aareydrugs.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"15","Unassigned","Aarnav Fashions Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"16","Unassigned","Aaron Industries Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"17","Unassigned","Aartech Solonics Limited","https://www.aartechsolonics.com","readymade-fallback","HIGH","NO","N/A","info@aartechsolonics.com","[General Contact Email (Guessed Pattern)] info@aartechsolonics.com; [Investor Grievance Email (Guessed Pattern)] contact@aartechsolonics.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"18","Unassigned","Aarti Drugs Limited","https://www.aartidrugs.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"19","Unassigned","Aarti Industries Limited","https://www.aarti-industries.com","readymade-fallback","HIGH","NO","N/A","info@aarti-industries.com","[Investor Grievance / Compliance Officer Email] info@aarti-industries.com; [General Contact Email] info@aarti-industries.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 15. Lighthouse A11y: 40/100."
"20","Unassigned","Aarti Pharmalabs Limited","https://www.aartipharmalabs.com","readymade-fallback","HIGH","NO","N/A","info@aartipharmalabs.com","[General Contact Email (Guessed Pattern)] info@aartipharmalabs.com; [Investor Grievance Email (Guessed Pattern)] contact@aartipharmalabs.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"21","Unassigned","Aarti Surfactants Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"22","Unassigned","Aarvi Encon Limited","https://www.aarviencon.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"23","Unassigned","Aastha Spintex Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"24","Unassigned","Aavas Financiers Limited","https://www.aavas.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"25","Unassigned","Aban Offshore Limited","https://www.abanoffshore.com","readymade-fallback","HIGH","NO","N/A","info@abanoffshore.com","[General Contact Email (Guessed Pattern)] info@abanoffshore.com; [Investor Grievance Email (Guessed Pattern)] contact@abanoffshore.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"26","Unassigned","Abans Enterprises Limited","https://www.abansenterprises.com","readymade-fallback","HIGH","NO","N/A","info@abansenterprises.com","[General Contact Email (Guessed Pattern)] info@abansenterprises.com; [Investor Grievance Email (Guessed Pattern)] contact@abansenterprises.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"27","Unassigned","ABB India Limited","https://new.abb.com/in","readymade-fallback","HIGH","NO","N/A","info@new.abb.com","[General Contact Email (Guessed Pattern)] info@new.abb.com; [Investor Grievance Email (Guessed Pattern)] contact@new.abb.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"28","Unassigned","Abbott India Limited","https://www.abbott.co.in","readymade-fallback","HIGH","NO","N/A","investorrelations.india@abbott.com","[Investor Grievance / Compliance Officer Email] investorrelations.india@abbott.com; [General Contact Email] investorrelations.india@abbott.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"29","Unassigned","Aditya Birla Capital Limited","https://www.adityabirlacapital.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"30","Unassigned","A B Cotspin India Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"31","Unassigned","Allied Blenders and Distillers Limited","https://www.alliedblendersanddistillers.com","readymade-fallback","HIGH","NO","N/A","info@alliedblendersanddistillers.com","[General Contact Email (Guessed Pattern)] info@alliedblendersanddistillers.com; [Investor Grievance Email (Guessed Pattern)] contact@alliedblendersanddistillers.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"32","Unassigned","Aditya Birla Fashion and Retail Limited","https://www.abfrl.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"33","Unassigned","A B Infrabuild Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"34","Unassigned","Aditya Birla Lifestyle Brands Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"35","Unassigned","ABM International Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"36","Unassigned","ABM Knowledgeware Limited","https://www.abmk.in","readymade-fallback","HIGH","NO","N/A","info@abmk.in","[General Contact Email (Guessed Pattern)] info@abmk.in; [Investor Grievance Email (Guessed Pattern)] contact@abmk.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"37","Unassigned","Aditya Birla Real Estate Limited","https://www.adityabirla.com","readymade-fallback","HIGH","NO","N/A","info@adityabirla.com","[General Contact Email (Guessed Pattern)] info@adityabirla.com; [Investor Grievance Email (Guessed Pattern)] contact@adityabirla.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 7. Lighthouse A11y: 72/100."
"38","Unassigned","Aditya Birla Sun Life AMC Limited","https://mutualfund.adityabirlacapital.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"39","Unassigned","ACC Limited","https://www.acclimited.com","readymade-fallback","HIGH","NO","N/A","corpcomm.adanicement@adani.com","[Investor Grievance / Compliance Officer Email] einward.ris@kfintech.com; [General Contact Email] corpcomm.adanicement@adani.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"40","Unassigned","Accelya Solutions India Limited","https://www.accelya.com","readymade-fallback","HIGH","NO","N/A","info@accelya.com","[General Contact Email (Guessed Pattern)] info@accelya.com; [Investor Grievance Email (Guessed Pattern)] contact@accelya.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"41","Unassigned","Accuracy Shipping Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"42","Unassigned","Action Construction Equipment Limited","https://www.ace-cranes.com","readymade-fallback","HIGH","NO","N/A","info@ace-cranes.com","[General Contact Email (Guessed Pattern)] info@ace-cranes.com; [Investor Grievance Email (Guessed Pattern)] contact@ace-cranes.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"43","Unassigned","Ace Integrated Solutions Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"44","Unassigned","Archean Chemical Industries Limited","https://www.archeanchemical.com","readymade-fallback","HIGH","NO","N/A","info@archeanchemical.com","[General Contact Email (Guessed Pattern)] info@archeanchemical.com; [Investor Grievance Email (Guessed Pattern)] contact@archeanchemical.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"45","Unassigned","Andhra Cements Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"46","Unassigned","Acme Solar Holdings Limited","https://www.acme.in","readymade-fallback","HIGH","NO","N/A","info@acme.in","[General Contact Email (Guessed Pattern)] info@acme.in; [Investor Grievance Email (Guessed Pattern)] contact@acme.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"47","Unassigned","ACS Technologies Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"48","Unassigned","Acutaas Chemicals Limited","https://www.acutaaschem.com","readymade-fallback","HIGH","NO","N/A","info@acutaaschem.com","[General Contact Email (Guessed Pattern)] info@acutaaschem.com; [Investor Grievance Email (Guessed Pattern)] contact@acutaaschem.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"49","Unassigned","Adani Energy Solutions Limited","https://www.adanienergysolutions.com","readymade-fallback","HIGH","NO","N/A","Prashant.Soni@adani.com","[Investor Grievance / Compliance Officer Email] Prashant.Soni@adani.com; [General Contact Email] Prashant.Soni@adani.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 83. Lighthouse A11y: 30/100."
"50","Unassigned","Adani Enterprises Limited","https://www.adanienterprises.com","readymade-fallback","HIGH","NO","N/A","ahmedabad@in.mpms.mufg.com","[Investor Grievance / Compliance Officer Email] ahmedabad@in.mpms.mufg.com; [General Contact Email] ahmedabad@in.mpms.mufg.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 64. Lighthouse A11y: 30/100."
"51","Unassigned","Adani Green Energy Limited","https://www.adanigreenenergy.com","readymade-fallback","HIGH","NO","N/A","lquadros@jefferies.com","[Investor Grievance / Compliance Officer Email] sujata.poojary@in.mpms.mufg.com; [General Contact Email] lquadros@jefferies.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 112. Lighthouse A11y: 30/100."
"52","Unassigned","Adani Ports and Special Economic Zone Limited","https://www.adaniports.com","readymade-fallback","HIGH","NO","N/A","ankita.shah@elaracapital.com","[Investor Grievance / Compliance Officer Email] rnt.helpdesk@in.mpms.mufg.com; [General Contact Email] ankita.shah@elaracapital.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 60. Lighthouse A11y: 30/100."
"53","Unassigned","Adani Power Limited","https://www.adanipower.com","readymade-fallback","HIGH","NO","N/A","einward.ris@kfintech.com","[Investor Grievance / Compliance Officer Email] einward.ris@kfintech.com; [General Contact Email] einward.ris@kfintech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 67. Lighthouse A11y: 30/100."
"54","Unassigned","ADF Foods Limited","https://www.adf-foods.com","readymade-fallback","HIGH","NO","N/A","info@adf-foods.com","[General Contact Email] info@adf-foods.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"55","Unassigned","Archidply Decor Limited","https://www.archidply.com","readymade-fallback","HIGH","NO","N/A","info@archidply.com","[General Contact Email (Guessed Pattern)] info@archidply.com; [Investor Grievance Email (Guessed Pattern)] contact@archidply.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"56","Unassigned","Ador Welding Limited","https://www.adorwelding.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"57","Unassigned","Adroit Infotech Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"58","Unassigned","Allied Digital Services Limited","https://www.allieddigital.net","readymade-fallback","HIGH","NO","N/A","info@allieddigital.net","[General Contact Email (Guessed Pattern)] info@allieddigital.net; [Investor Grievance Email (Guessed Pattern)] contact@allieddigital.net","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"59","Unassigned","Advait Energy Transitions Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"60","Unassigned","Advance Agrolife Limited","https://www.advanceagrolife.com","readymade-fallback","HIGH","NO","N/A","info@advanceagrolife.com","[General Contact Email (Guessed Pattern)] info@advanceagrolife.com; [Investor Grievance Email (Guessed Pattern)] contact@advanceagrolife.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"61","Unassigned","Advani Hotels & Resorts (India) Limited","https://www.ramadagoa.com","readymade-fallback","HIGH","NO","N/A","info@ramadagoa.com","[General Contact Email (Guessed Pattern)] info@ramadagoa.com; [Investor Grievance Email (Guessed Pattern)] contact@ramadagoa.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"62","Unassigned","Advent Hotels International Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"63","Unassigned","Advanced Enzyme Technologies Limited","https://www.advancedenzymes.com","readymade-fallback","HIGH","NO","N/A","info@advancedenzymes.com","[General Contact Email] info@advancedenzymes.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 12. Lighthouse A11y: 52/100."
"64","Unassigned","Aegis Logistics Limited","https://www.aegisindia.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"65","Unassigned","Aegis Vopak Terminals Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"66","Unassigned","Artemis Electricals and Projects Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"67","Unassigned","Aequs Limited","https://www.aequs.com","readymade-fallback","HIGH","NO","N/A","Company.secretary@aequs.com","[Investor Grievance / Compliance Officer Email] Company.secretary@aequs.com; [General Contact Email] Company.secretary@aequs.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"68","Unassigned","Aeroflex Enterprises Limited","https://www.aeroflexindia.com","readymade-fallback","HIGH","NO","N/A","info@aeroflexindia.com","[Investor Grievance / Compliance Officer Email] corporate@aeroflexindia.com; [General Contact Email] info@aeroflexindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 14. Lighthouse A11y: 44/100."
"69","Unassigned","Aeroflex Industries Limited","https://www.aeroflexindia.com","readymade-fallback","HIGH","NO","N/A","info@aeroflexindia.com","[Investor Grievance / Compliance Officer Email] corporate@aeroflexindia.com; [General Contact Email] info@aeroflexindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 14. Lighthouse A11y: 44/100."
"70","Unassigned","Aeroflex Neu Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"71","Unassigned","Amir Chand Jagdish Kumar (Exports) Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"72","Unassigned","Aether Industries Limited","https://www.aetherindustries.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"73","Unassigned","Afcons Infrastructure Limited","https://www.afcons.com","readymade-fallback","HIGH","NO","N/A","info@afcons.com","[General Contact Email (Guessed Pattern)] info@afcons.com; [Investor Grievance Email (Guessed Pattern)] contact@afcons.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 38. Lighthouse A11y: 30/100."
"74","Unassigned","Affle 3i Limited","https://www.affle.com","readymade-fallback","HIGH","NO","N/A","info@affle.com","[General Contact Email (Guessed Pattern)] info@affle.com; [Investor Grievance Email (Guessed Pattern)] contact@affle.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"75","Unassigned","Affordable Robotic & Automation Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"76","Unassigned","Akme Fintrade (India) Limited","https://www.akmefintrade.com","readymade-fallback","HIGH","NO","N/A","info@akmefintrade.com","[General Contact Email (Guessed Pattern)] info@akmefintrade.com; [Investor Grievance Email (Guessed Pattern)] contact@akmefintrade.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"77","Unassigned","Abans Financial Services Limited","https://www.abansfinancial.com","readymade-fallback","HIGH","NO","N/A","info@abansfinancial.com","[General Contact Email (Guessed Pattern)] info@abansfinancial.com; [Investor Grievance Email (Guessed Pattern)] contact@abansfinancial.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"78","Unassigned","Agarwal Industrial Corporation Limited","https://www.aicl.net","readymade-fallback","HIGH","NO","N/A","info@aicl.net","[General Contact Email (Guessed Pattern)] info@aicl.net; [Investor Grievance Email (Guessed Pattern)] contact@aicl.net","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"79","Unassigned","Dr. Agarwal's Health Care Limited","https://www.dragarwal.com","readymade-fallback","HIGH","NO","N/A","info@dragarwal.com","[General Contact Email] info@dragarwal.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 15. Lighthouse A11y: 40/100."
"80","Unassigned","AGI Greenpac Limited","https://www.agiglass.co.in","readymade-fallback","HIGH","NO","N/A","info@agiglass.co.in","[General Contact Email (Guessed Pattern)] info@agiglass.co.in; [Investor Grievance Email (Guessed Pattern)] contact@agiglass.co.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"81","Unassigned","Agi Infra Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"82","Unassigned","Allcargo Global Limited","https://www.allcargologistics.com","readymade-fallback","HIGH","NO","N/A","customerservices@allcargologistics.com","[Investor Grievance / Compliance Officer Email] customerservices@allcargologistics.com; [General Contact Email] customerservices@allcargologistics.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"83","Unassigned","Agri-Tech (India) Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"84","Unassigned","Agro Phos India Limited","https://www.agrophosindia.com","readymade-fallback","HIGH","NO","N/A","info@agrophosindia.com","[General Contact Email (Guessed Pattern)] info@agrophosindia.com; [Investor Grievance Email (Guessed Pattern)] contact@agrophosindia.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
