[2026-08-02T08:13:22.707Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [https://www.20microns.com] | SELECTED: "https://www.20microns.com" | CONFIDENCE: HIGH | TIME: 2ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:31.921Z] COMPANY: "Aadhar Housing Finance Limited" | QUERIES: ["Aadhar Housing Finance Limited" official website] | CANDIDATES: [https://www.aadharhousing.com] | SELECTED: "https://www.aadharhousing.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:40.102Z] COMPANY: "Aakash Exploration Services Limited" | QUERIES: ["Aakash Exploration Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:40.103Z] COMPANY: "Aarey Drugs & Pharmaceuticals Limited" | QUERIES: ["Aarey Drugs & Pharmaceuticals Limited" official website] | CANDIDATES: [https://www.aareydrugs.com] | SELECTED: "https://www.aareydrugs.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:47.586Z] COMPANY: "Aarnav Fashions Limited" | QUERIES: ["Aarnav Fashions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:47.587Z] COMPANY: "Aaron Industries Limited" | QUERIES: ["Aaron Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:16:12.233Z] COMPANY: "Aartech Solonics Limited" | QUERIES: ["Aartech Solonics Limited" official website] | CANDIDATES: [https://www.aartechsolonics.com] | SELECTED: "https://www.aartechsolonics.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:16:21.292Z] COMPANY: "Aarti Drugs Limited" | QUERIES: ["Aarti Drugs Limited" official website] | CANDIDATES: [https://www.aartidrugs.co.in] | SELECTED: "https://www.aartidrugs.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:16:30.679Z] COMPANY: "Aarti Industries Limited" | QUERIES: ["Aarti Industries Limited" official website] | CANDIDATES: [https://www.aarti-industries.com] | SELECTED: "https://www.aarti-industries.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:16:56.952Z] COMPANY: "Aarti Pharmalabs Limited" | QUERIES: ["Aarti Pharmalabs Limited" official website] | CANDIDATES: [https://www.aartipharmalabs.com] | SELECTED: "https://www.aartipharmalabs.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:17:02.750Z] COMPANY: "Aarti Surfactants Limited" | QUERIES: ["Aarti Surfactants Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:17:02.751Z] COMPANY: "Aarvi Encon Limited" | QUERIES: ["Aarvi Encon Limited" official website] | CANDIDATES: [https://www.aarviencon.com] | SELECTED: "https://www.aarviencon.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:17:04.587Z] COMPANY: "Aastha Spintex Limited" | QUERIES: ["Aastha Spintex Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:17:04.588Z] COMPANY: "Aavas Financiers Limited" | QUERIES: ["Aavas Financiers Limited" official website] | CANDIDATES: [https://www.aavas.in] | SELECTED: "https://www.aavas.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:17:05.580Z] COMPANY: "Aban Offshore Limited" | QUERIES: ["Aban Offshore Limited" official website] | CANDIDATES: [https://www.abanoffshore.com] | SELECTED: "https://www.abanoffshore.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:19:25.602Z] COMPANY: "Abans Enterprises Limited" | QUERIES: ["Abans Enterprises Limited" official website] | CANDIDATES: [https://www.abansenterprises.com] | SELECTED: "https://www.abansenterprises.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:21:43.098Z] COMPANY: "ABB India Limited" | QUERIES: ["ABB India Limited" official website] | CANDIDATES: [https://new.abb.com/in] | SELECTED: "https://new.abb.com/in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:21:50.915Z] COMPANY: "Abbott India Limited" | QUERIES: ["Abbott India Limited" official website] | CANDIDATES: [https://www.abbott.co.in] | SELECTED: "https://www.abbott.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:22:00.984Z] COMPANY: "Aditya Birla Capital Limited" | QUERIES: ["Aditya Birla Capital Limited" official website] | CANDIDATES: [https://www.adityabirlacapital.com] | SELECTED: "https://www.adityabirlacapital.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:22:06.837Z] COMPANY: "A B Cotspin India Limited" | QUERIES: ["A B Cotspin India Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:22:06.838Z] COMPANY: "Allied Blenders and Distillers Limited" | QUERIES: ["Allied Blenders and Distillers Limited" official website] | CANDIDATES: [https://www.alliedblendersanddistillers.com] | SELECTED: "https://www.alliedblendersanddistillers.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:22:15.937Z] COMPANY: "Aditya Birla Fashion and Retail Limited" | QUERIES: ["Aditya Birla Fashion and Retail Limited" official website] | CANDIDATES: [https://www.abfrl.com] | SELECTED: "https://www.abfrl.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:22:17.507Z] COMPANY: "A B Infrabuild Limited" | QUERIES: ["A B Infrabuild Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:22:17.508Z] COMPANY: "Aditya Birla Lifestyle Brands Limited" | QUERIES: ["Aditya Birla Lifestyle Brands Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:22:17.509Z] COMPANY: "ABM International Limited" | QUERIES: ["ABM International Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:23:30.537Z] COMPANY: "ABM Knowledgeware Limited" | QUERIES: ["ABM Knowledgeware Limited" official website] | CANDIDATES: [https://www.abmk.in] | SELECTED: "https://www.abmk.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:23:35.760Z] COMPANY: "Aditya Birla Real Estate Limited" | QUERIES: ["Aditya Birla Real Estate Limited" official website] | CANDIDATES: [https://www.adityabirla.com] | SELECTED: "https://www.adityabirla.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:23:53.863Z] COMPANY: "Aditya Birla Sun Life AMC Limited" | QUERIES: ["Aditya Birla Sun Life AMC Limited" official website] | CANDIDATES: [https://mutualfund.adityabirlacapital.com] | SELECTED: "https://mutualfund.adityabirlacapital.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:23:57.916Z] COMPANY: "ACC Limited" | QUERIES: ["ACC Limited" official website] | CANDIDATES: [https://www.acclimited.com] | SELECTED: "https://www.acclimited.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:10.797Z] COMPANY: "Accelya Solutions India Limited" | QUERIES: ["Accelya Solutions India Limited" official website] | CANDIDATES: [https://www.accelya.com] | SELECTED: "https://www.accelya.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:22.077Z] COMPANY: "Accuracy Shipping Limited" | QUERIES: ["Accuracy Shipping Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:22.078Z] COMPANY: "Action Construction Equipment Limited" | QUERIES: ["Action Construction Equipment Limited" official website] | CANDIDATES: [https://www.ace-cranes.com] | SELECTED: "https://www.ace-cranes.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:30.144Z] COMPANY: "Ace Integrated Solutions Limited" | QUERIES: ["Ace Integrated Solutions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:30.145Z] COMPANY: "Archean Chemical Industries Limited" | QUERIES: ["Archean Chemical Industries Limited" official website] | CANDIDATES: [https://www.archeanchemical.com] | SELECTED: "https://www.archeanchemical.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:35.884Z] COMPANY: "Andhra Cements Limited" | QUERIES: ["Andhra Cements Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:35.885Z] COMPANY: "Acme Solar Holdings Limited" | QUERIES: ["Acme Solar Holdings Limited" official website] | CANDIDATES: [https://www.acme.in] | SELECTED: "https://www.acme.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:24:43.781Z] COMPANY: "ACS Technologies Limited" | QUERIES: ["ACS Technologies Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:26:26.668Z] COMPANY: "Acutaas Chemicals Limited" | QUERIES: ["Acutaas Chemicals Limited" official website] | CANDIDATES: [https://www.acutaaschem.com] | SELECTED: "https://www.acutaaschem.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:27:29.002Z] COMPANY: "Adani Energy Solutions Limited" | QUERIES: ["Adani Energy Solutions Limited" official website] | CANDIDATES: [https://www.adanienergysolutions.com] | SELECTED: "https://www.adanienergysolutions.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:27:44.033Z] COMPANY: "Adani Enterprises Limited" | QUERIES: ["Adani Enterprises Limited" official website] | CANDIDATES: [https://www.adanienterprises.com] | SELECTED: "https://www.adanienterprises.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:27:57.026Z] COMPANY: "Adani Green Energy Limited" | QUERIES: ["Adani Green Energy Limited" official website] | CANDIDATES: [https://www.adanigreenenergy.com] | SELECTED: "https://www.adanigreenenergy.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:28:11.516Z] COMPANY: "Adani Ports and Special Economic Zone Limited" | QUERIES: ["Adani Ports and Special Economic Zone Limited" official website] | CANDIDATES: [https://www.adaniports.com] | SELECTED: "https://www.adaniports.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:28:24.311Z] COMPANY: "Adani Power Limited" | QUERIES: ["Adani Power Limited" official website] | CANDIDATES: [https://www.adanipower.com] | SELECTED: "https://www.adanipower.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:28:39.467Z] COMPANY: "ADF Foods Limited" | QUERIES: ["ADF Foods Limited" official website] | CANDIDATES: [https://www.adf-foods.com] | SELECTED: "https://www.adf-foods.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:28:53.182Z] COMPANY: "Archidply Decor Limited" | QUERIES: ["Archidply Decor Limited" official website] | CANDIDATES: [https://www.archidply.com] | SELECTED: "https://www.archidply.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:29:02.147Z] COMPANY: "Ador Welding Limited" | QUERIES: ["Ador Welding Limited" official website] | CANDIDATES: [https://www.adorwelding.com] | SELECTED: "https://www.adorwelding.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:29:05.209Z] COMPANY: "Adroit Infotech Limited" | QUERIES: ["Adroit Infotech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:29:05.210Z] COMPANY: "Allied Digital Services Limited" | QUERIES: ["Allied Digital Services Limited" official website] | CANDIDATES: [https://www.allieddigital.net] | SELECTED: "https://www.allieddigital.net" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:29:14.885Z] COMPANY: "Advait Energy Transitions Limited" | QUERIES: ["Advait Energy Transitions Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:29:14.886Z] COMPANY: "Advance Agrolife Limited" | QUERIES: ["Advance Agrolife Limited" official website] | CANDIDATES: [https://www.advanceagrolife.com] | SELECTED: "https://www.advanceagrolife.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:31:36.606Z] COMPANY: "Advani Hotels & Resorts (India) Limited" | QUERIES: ["Advani Hotels & Resorts (India) Limited" official website] | CANDIDATES: [https://www.ramadagoa.com] | SELECTED: "https://www.ramadagoa.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:31:45.467Z] COMPANY: "Advent Hotels International Limited" | QUERIES: ["Advent Hotels International Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:31:45.468Z] COMPANY: "Advanced Enzyme Technologies Limited" | QUERIES: ["Advanced Enzyme Technologies Limited" official website] | CANDIDATES: [https://www.advancedenzymes.com] | SELECTED: "https://www.advancedenzymes.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:31:55.848Z] COMPANY: "Aegis Logistics Limited" | QUERIES: ["Aegis Logistics Limited" official website] | CANDIDATES: [https://www.aegisindia.com] | SELECTED: "https://www.aegisindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:31:58.727Z] COMPANY: "Aegis Vopak Terminals Limited" | QUERIES: ["Aegis Vopak Terminals Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:31:58.728Z] COMPANY: "Artemis Electricals and Projects Limited" | QUERIES: ["Artemis Electricals and Projects Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:31:58.729Z] COMPANY: "Aequs Limited" | QUERIES: ["Aequs Limited" official website] | CANDIDATES: [https://www.aequs.com] | SELECTED: "https://www.aequs.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:32:35.888Z] COMPANY: "Aeroflex Enterprises Limited" | QUERIES: ["Aeroflex Enterprises Limited" official website] | CANDIDATES: [https://www.aeroflexindia.com] | SELECTED: "https://www.aeroflexindia.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:02.488Z] COMPANY: "Aeroflex Industries Limited" | QUERIES: ["Aeroflex Industries Limited" official website] | CANDIDATES: [https://www.aeroflexindia.com] | SELECTED: "https://www.aeroflexindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:26.360Z] COMPANY: "Aeroflex Neu Limited" | QUERIES: ["Aeroflex Neu Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:26.361Z] COMPANY: "Amir Chand Jagdish Kumar (Exports) Limited" | QUERIES: ["Amir Chand Jagdish Kumar (Exports) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:26.361Z] COMPANY: "Aether Industries Limited" | QUERIES: ["Aether Industries Limited" official website] | CANDIDATES: [https://www.aetherindustries.com] | SELECTED: "https://www.aetherindustries.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:27.796Z] COMPANY: "Afcons Infrastructure Limited" | QUERIES: ["Afcons Infrastructure Limited" official website] | CANDIDATES: [https://www.afcons.com] | SELECTED: "https://www.afcons.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:43.758Z] COMPANY: "Affle 3i Limited" | QUERIES: ["Affle 3i Limited" official website] | CANDIDATES: [https://www.affle.com] | SELECTED: "https://www.affle.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:50.096Z] COMPANY: "Affordable Robotic & Automation Limited" | QUERIES: ["Affordable Robotic & Automation Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:50.097Z] COMPANY: "Akme Fintrade (India) Limited" | QUERIES: ["Akme Fintrade (India) Limited" official website] | CANDIDATES: [https://www.akmefintrade.com] | SELECTED: "https://www.akmefintrade.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:33:59.058Z] COMPANY: "Abans Financial Services Limited" | QUERIES: ["Abans Financial Services Limited" official website] | CANDIDATES: [https://www.abansfinancial.com] | SELECTED: "https://www.abansfinancial.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:34:37.668Z] COMPANY: "Agarwal Industrial Corporation Limited" | QUERIES: ["Agarwal Industrial Corporation Limited" official website] | CANDIDATES: [https://www.aicl.net] | SELECTED: "https://www.aicl.net" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:34:48.437Z] COMPANY: "Dr. Agarwal's Health Care Limited" | QUERIES: ["Dr. Agarwal's Health Care Limited" official website] | CANDIDATES: [https://www.dragarwal.com] | SELECTED: "https://www.dragarwal.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:34:59.085Z] COMPANY: "AGI Greenpac Limited" | QUERIES: ["AGI Greenpac Limited" official website] | CANDIDATES: [https://www.agiglass.co.in] | SELECTED: "https://www.agiglass.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:07.241Z] COMPANY: "Agi Infra Limited" | QUERIES: ["Agi Infra Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:07.242Z] COMPANY: "Allcargo Global Limited" | QUERIES: ["Allcargo Global Limited" official website] | CANDIDATES: [https://www.allcargologistics.com] | SELECTED: "https://www.allcargologistics.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:23.721Z] COMPANY: "Agri-Tech (India) Limited" | QUERIES: ["Agri-Tech (India) Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:23.722Z] COMPANY: "Agro Phos India Limited" | QUERIES: ["Agro Phos India Limited" official website] | CANDIDATES: [https://www.agrophosindia.com] | SELECTED: "https://www.agrophosindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:31.523Z] COMPANY: "Anlon Healthcare Limited" | QUERIES: ["Anlon Healthcare Limited" official website] | CANDIDATES: [https://www.anlonhealthcare.com] | SELECTED: "https://www.anlonhealthcare.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:42.018Z] COMPANY: "Ahlada Engineers Limited" | QUERIES: ["Ahlada Engineers Limited" official website] | CANDIDATES: [https://www.ahladaengineers.com] | SELECTED: "https://www.ahladaengineers.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:49.177Z] COMPANY: "Asian Hotels (East) Limited" | QUERIES: ["Asian Hotels (East) Limited" official website] | CANDIDATES: [https://www.hyattregencykolkata.com] | SELECTED: "https://www.hyattregencykolkata.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:35:56.383Z] COMPANY: "Ahluwalia Contracts (India) Limited" | QUERIES: ["Ahluwalia Contracts (India) Limited" official website] | CANDIDATES: [https://www.ahluwaliacontracts.com] | SELECTED: "https://www.ahluwaliacontracts.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:36:04.894Z] COMPANY: "Asian Hotels (West) Limited" | QUERIES: ["Asian Hotels (West) Limited" official website] | CANDIDATES: [https://www.hyattregencymumbai.com] | SELECTED: "https://www.hyattregencymumbai.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:36:11.864Z] COMPANY: "AIA Engineering Limited" | QUERIES: ["AIA Engineering Limited" official website] | CANDIDATES: [https://www.aiaengineering.com] | SELECTED: "https://www.aiaengineering.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:36:20.117Z] COMPANY: "Authum Investment & Infrastructure Limited" | QUERIES: ["Authum Investment & Infrastructure Limited" official website] | CANDIDATES: [https://www.authuminvestment.com] | SELECTED: "https://www.authuminvestment.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:36:28.329Z] COMPANY: "Airan Limited" | QUERIES: ["Airan Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:36:28.330Z] COMPANY: "Airo Lam limited" | QUERIES: ["Airo Lam limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:36:28.330Z] COMPANY: "Ajanta Pharma Limited" | QUERIES: ["Ajanta Pharma Limited" official website] | CANDIDATES: [https://www.ajantapharma.com] | SELECTED: "https://www.ajantapharma.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:37:17.860Z] COMPANY: "Ajax Engineering Limited" | QUERIES: ["Ajax Engineering Limited" official website] | CANDIDATES: [https://www.ajax-engg.com] | SELECTED: "https://www.ajax-engg.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:37:31.329Z] COMPANY: "Ajmera Realty & Infra India Limited" | QUERIES: ["Ajmera Realty & Infra India Limited" official website] | CANDIDATES: [https://www.ajmerarealty.com] | SELECTED: "https://www.ajmerarealty.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:37:44.534Z] COMPANY: "Ajooni Biotech Limited" | QUERIES: ["Ajooni Biotech Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:37:44.535Z] COMPANY: "Akash Infra-Projects Limited" | QUERIES: ["Akash Infra-Projects Limited" official website] | CANDIDATES: [https://www.akashinfra.com] | SELECTED: "https://www.akashinfra.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
