Sr. No.,Assigned To,Company Name,Website,Contact Person,Designation,Phone Number,Email ID,Website Verified,Scan Completed,Screenshot Taken,Screenshot attached,Wave Score,Axe Score,LH Score
"16","Unassigned","SBI Life Insurance Company Limited","https://www.sbilife.co.in","N/A","Head of Compliance & Digital Governance","+91-22-73689014","info@sbilife.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/SBI_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","","100"
"17","Unassigned","ICICI Lombard General Insurance Company Limited","https://www.icicilombard.com","N/A","Head of Compliance & Digital Governance","+91-22-79560075","compliance@icicilombard.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/ICICI_Lombard_General_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"18","Unassigned","ICICI Prudential Life Insurance Company Limited","https://www.iciciprulife.com","N/A","Head of Compliance & Digital Governance","+91-22-34552450","compliance@iciciprulife.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/ICICI_Prudential_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"19","Unassigned","HDFC Asset Management Company Limited","https://www.hdfcfund.com","N/A","Head of Compliance & Digital Governance","+91-22-92186064","compliance@hdfcfund.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/HDFC_Asset_Management_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"20","Unassigned","Nippon Life India Asset Management Limited","https://mf.nipponindiaim.com","N/A","Head of Compliance & Digital Governance","+91-22-56582966","compliance@mf.nipponindiaim.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Nippon_Life_India_Asset_Management_Limited_WAVE_Tool_Screenshot.png)","","",""
"21","Unassigned","Tata Consultancy Services Limited","https://www.tcs.com","N/A","Head of Compliance & Digital Governance","+91-22-38888531","compliance@tcs.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Consultancy_Services_Limited_WAVE_Tool_Screenshot.png)","","",""
"22","Unassigned","Infosys Limited","https://www.infosys.com","N/A","Head of Compliance & Digital Governance","+91-22-24692572","compliance@infosys.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Infosys_Limited_WAVE_Tool_Screenshot.png)","","",""
"23","Unassigned","Wipro Limited","https://www.wipro.com","N/A","Head of Compliance & Digital Governance","+91-22-73234620","investor.relations@wipro.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Wipro_Limited_WAVE_Tool_Screenshot.png)","11","11","56"
"24","Unassigned","HCL Technologies Limited","https://www.hcltech.com","N/A","Head of Compliance & Digital Governance","+91-22-30987552","info@hcltech.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/HCL_Technologies_Limited_WAVE_Tool_Screenshot.png)","","","100"
"25","Unassigned","Tech Mahindra Limited","https://www.techmahindra.com","N/A","Head of Compliance & Digital Governance","+91-22-82054415","umesh.sharma@linkintime.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Tech_Mahindra_Limited_WAVE_Tool_Screenshot.png)","6","6","76"
"26","Unassigned","LTIMindtree Limited","https://www.ltimindtree.com","N/A","Head of Compliance & Digital Governance","+91-22-45850186","info@ltimindtree.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/LTIMindtree_Limited_WAVE_Tool_Screenshot.png)","4","4","84"
"27","Unassigned","Persistent Systems Limited","https://www.persistent.com","N/A","Head of Compliance & Digital Governance","+91-22-31454459","compliance@persistent.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Persistent_Systems_Limited_WAVE_Tool_Screenshot.png)","","",""
"28","Unassigned","Mphasis Limited","https://www.mphasis.com","N/A","Head of Compliance & Digital Governance","+91-22-99823775","info@mphasis.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Mphasis_Limited_WAVE_Tool_Screenshot.png)","","","100"
"29","Unassigned","Coforge Limited","https://www.coforge.com","N/A","Head of Compliance & Digital Governance","+91-22-77271266","info@coforge.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Coforge_Limited_WAVE_Tool_Screenshot.png)","26","26","30"
"30","Unassigned","Oracle Financial Services Software Limited","https://www.oracle.com/in/financial-services/","N/A","Head of Compliance & Digital Governance","+91-22-88753107","compliance@oracle.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Oracle_Financial_Services_Software_Limited_WAVE_Tool_Screenshot.png)","","",""
"31","Unassigned","L&T Technology Services Limited","https://www.ltts.com","N/A","Head of Compliance & Digital Governance","+91-22-23947084","compliance@ltts.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/L_T_Technology_Services_Limited_WAVE_Tool_Screenshot.png)","","",""
"32","Unassigned","Tata Elxsi Limited","https://www.tataelxsi.com","N/A","Head of Compliance & Digital Governance","+91-22-21267379","info@tataelxsi.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Tata_Elxsi_Limited_WAVE_Tool_Screenshot.png)","36","36","30"
"33","Unassigned","Reliance Jio / Jio Financial Services Limited","https://www.jfs.in","N/A","Head of Compliance & Digital Governance","+91-22-18124594","compliance@jfs.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Reliance_Jio___Jio_Financial_Services_Limited_WAVE_Tool_Screenshot.png)","","",""
"34","Unassigned","Bharti Airtel Limited","https://www.airtel.in","N/A","Head of Compliance & Digital Governance","+91-22-66887910","info@airtel.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bharti_Airtel_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"35","Unassigned","Vodafone Idea Limited","https://www.myvi.in","N/A","Head of Compliance & Digital Governance","+91-22-32480178","customercare@vodafoneidea.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Vodafone_Idea_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"36","Unassigned","Tata Communications Limited","https://www.tatacommunications.com","N/A","Head of Compliance & Digital Governance","+91-22-11770607","compliance@tatacommunications.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Communications_Limited_WAVE_Tool_Screenshot.png)","","",""
"37","Unassigned","Eternal Limited / Zomato","https://www.zomato.com","N/A","Head of Compliance & Digital Governance","+91-22-12425931","info@zomato.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Eternal_Limited___Zomato_WAVE_Tool_Screenshot.png)","","","100"
"38","Unassigned","One97 Communications Limited / Paytm","https://paytm.com","N/A","Head of Compliance & Digital Governance","+91-22-90189551","compliance@paytm.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/One97_Communications_Limited___Paytm_WAVE_Tool_Screenshot.png)","","",""
"39","Unassigned","FSN E-Commerce Ventures Limited / Nykaa","https://www.nykaa.com","N/A","Head of Compliance & Digital Governance","+91-22-53526829","info@nykaa.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/FSN_E_Commerce_Ventures_Limited___Nykaa_WAVE_Tool_Screenshot.png)","","","100"
"40","Unassigned","Info Edge (India) Limited","https://www.infoedge.in","N/A","Head of Compliance & Digital Governance","+91-22-14990170","investors@naukri.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Info_Edge__India__Limited_WAVE_Tool_Screenshot.png)","132","132","30"
"41","Unassigned","IndiaMART InterMESH Limited","https://www.indiamart.com","N/A","Head of Compliance & Digital Governance","+91-22-93359532","customercare@indiamart.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/IndiaMART_InterMESH_Limited_WAVE_Tool_Screenshot.png)","4","4","84"
"42","Unassigned","PB Fintech Limited / Policybazaar","https://www.policybazaar.com","N/A","Head of Compliance & Digital Governance","+91-22-80883780","info@policybazaar.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/PB_Fintech_Limited___Policybazaar_WAVE_Tool_Screenshot.png)","","","100"
"43","Unassigned","Delhivery Limited","https://www.delhivery.com","N/A","Head of Compliance & Digital Governance","+91-22-77360832","info@delhivery.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Delhivery_Limited_WAVE_Tool_Screenshot.png)","44","44","30"
"44","Unassigned","Avenue Supermarts Limited","https://www.dmartindia.com","N/A","Head of Compliance & Digital Governance","+91-22-91318199","info@dmartindia.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Avenue_Supermarts_Limited_WAVE_Tool_Screenshot.png)","5","5","80"
"45","Unassigned","Trent Limited","https://www.mywestside.com","N/A","Head of Compliance & Digital Governance","+91-22-58055152","westside@trent-tata.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Trent_Limited_WAVE_Tool_Screenshot.png)","8","8","68"
"46","Unassigned","Titan Company Limited","https://www.titancompany.in","N/A","Head of Compliance & Digital Governance","+91-22-52312148","compliance@titancompany.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Titan_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"47","Unassigned","Hindustan Unilever Limited","https://www.hul.co.in","N/A","Head of Compliance & Digital Governance","+91-22-63967047","compliance@hul.co.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Hindustan_Unilever_Limited_WAVE_Tool_Screenshot.png)","","",""
"48","Unassigned","ITC Limited","https://www.itcportal.com","N/A","Head of Compliance & Digital Governance","+91-22-75313198","contactus@itc.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/ITC_Limited_WAVE_Tool_Screenshot.png)","24","24","30"
"49","Unassigned","Nestle India Limited","https://www.nestle.in","N/A","Head of Compliance & Digital Governance","+91-22-85310742","compliance@nestle.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Nestle_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"50","Unassigned","Britannia Industries Limited","https://www.britannia.co.in","N/A","Head of Compliance & Digital Governance","+91-22-27864942","feedback@britindia.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Britannia_Industries_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"51","Unassigned","Dabur India Limited","https://www.dabur.com","N/A","Head of Compliance & Digital Governance","+91-22-31914665","compliance@dabur.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Dabur_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"52","Unassigned","Marico Limited","https://marico.com","N/A","Head of Compliance & Digital Governance","+91-22-92445439","investor@marico.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Marico_Limited_WAVE_Tool_Screenshot.png)","12","12","52"
"53","Unassigned","Tata Consumer Products Limited","https://www.tataconsumer.com","N/A","Head of Compliance & Digital Governance","+91-22-37571595","compliance@tataconsumer.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Consumer_Products_Limited_WAVE_Tool_Screenshot.png)","","",""
"54","Unassigned","Apollo Hospitals Enterprise Limited","https://www.apollohospitals.com","N/A","Head of Compliance & Digital Governance","+91-22-67859408","krishnan_sm@apollohospitals.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Apollo_Hospitals_Enterprise_Limited_WAVE_Tool_Screenshot.png)","95","95","30"
"55","Unassigned","Fortis Healthcare Limited","https://www.fortishealthcare.com","N/A","Head of Compliance & Digital Governance","+91-22-43304117","compliance@fortishealthcare.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Fortis_Healthcare_Limited_WAVE_Tool_Screenshot.png)","","",""
"56","Unassigned","Narayana Hrudayalaya Limited","https://www.narayanahealth.org","N/A","Head of Compliance & Digital Governance","+91-22-13289364","info@narayanahealth.org","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Narayana_Hrudayalaya_Limited_WAVE_Tool_Screenshot.png)","4","4","84"
"57","Unassigned","Max Healthcare Institute Limited","https://www.maxhealthcare.in","N/A","Head of Compliance & Digital Governance","+91-22-65650985","compliance@maxhealthcare.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Max_Healthcare_Institute_Limited_WAVE_Tool_Screenshot.png)","","",""
"58","Unassigned","Sun Pharmaceutical Industries Limited","https://sunpharma.com","N/A","Head of Compliance & Digital Governance","+91-22-78528598","compliance@sunpharma.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Sun_Pharmaceutical_Industries_Limited_WAVE_Tool_Screenshot.png)","","",""
"59","Unassigned","Cipla Limited","https://www.cipla.com","N/A","Head of Compliance & Digital Governance","+91-22-41023534","info@cipla.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Cipla_Limited_WAVE_Tool_Screenshot.png)","14","14","44"
"60","Unassigned","Dr. Reddy’s Laboratories Limited","https://www.drreddys.com","N/A","Head of Compliance & Digital Governance","+91-22-67313219","example@email.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Dr__Reddy_s_Laboratories_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"61","Unassigned","Lupin Limited","https://www.lupin.com","N/A","Head of Compliance & Digital Governance","+91-22-77841962","info@lupin.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Lupin_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"62","Unassigned","Aurobindo Pharma Limited","https://www.aurobindo.com","N/A","Head of Compliance & Digital Governance","+91-22-86046877","Life@aurobindo2.webp","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Aurobindo_Pharma_Limited_WAVE_Tool_Screenshot.png)","9","9","64"
"63","Unassigned","Biocon Limited","https://www.biocon.com","N/A","Head of Compliance & Digital Governance","+91-22-82828088","info@biocon.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Biocon_Limited_WAVE_Tool_Screenshot.png)","23","23","30"
"64","Unassigned","Mankind Pharma Limited","https://www.mankindpharma.com","N/A","Head of Compliance & Digital Governance","+91-22-81153360","investors@mankindpharma.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Mankind_Pharma_Limited_WAVE_Tool_Screenshot.png)","38","38","30"
"65","Unassigned","Alkem Laboratories Limited","https://www.alkemlabs.com","N/A","Head of Compliance & Digital Governance","+91-22-21988338","contact@alkem.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Alkem_Laboratories_Limited_WAVE_Tool_Screenshot.png)","22","22","30"
"66","Unassigned","Reliance Retail / Reliance Industries Limited","https://relianceretail.com","N/A","Head of Compliance & Digital Governance","+91-22-12698644","info@relianceretail.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Reliance_Retail___Reliance_Industries_Limited_WAVE_Tool_Screenshot.png)","","","100"
"67","Unassigned","Tata Motors Limited","https://www.tatamotors.com","N/A","Head of Compliance & Digital Governance","+91-22-78213402","compliance@tatamotors.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Motors_Limited_WAVE_Tool_Screenshot.png)","","",""
"68","Unassigned","Mahindra & Mahindra Limited","https://www.mahindra.com","N/A","Head of Compliance & Digital Governance","+91-22-91467111","compliance@mahindra.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Mahindra___Mahindra_Limited_WAVE_Tool_Screenshot.png)","","",""
"69","Unassigned","Maruti Suzuki India Limited","https://www.marutisuzuki.com","N/A","Head of Compliance & Digital Governance","+91-22-68604115","info@marutisuzuki.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Maruti_Suzuki_India_Limited_WAVE_Tool_Screenshot.png)","","","100"
"70","Unassigned","Bajaj Auto Limited","https://www.bajajauto.com","N/A","Head of Compliance & Digital Governance","+91-22-38322668","compliance@bajajauto.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bajaj_Auto_Limited_WAVE_Tool_Screenshot.png)","","",""
"71","Unassigned","TVS Motor Company Limited","https://www.tvsmotor.com","N/A","Head of Compliance & Digital Governance","+91-22-82117264","compliance@tvsmotor.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/TVS_Motor_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"72","Unassigned","Eicher Motors Limited","https://www.eichermotors.com","N/A","Head of Compliance & Digital Governance","+91-22-21188572","info@eichermotors.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Eicher_Motors_Limited_WAVE_Tool_Screenshot.png)","","","100"
"73","Unassigned","Hyundai Motor India Limited","https://www.hyundai.com/in","N/A","Head of Compliance & Digital Governance","+91-22-79480200","compliance@hyundai.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Hyundai_Motor_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"74","Unassigned","Larsen & Toubro Limited","https://www.larsentoubro.com","N/A","Head of Compliance & Digital Governance","+91-22-35704623","infodesk@larsentoubro.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Larsen___Toubro_Limited_WAVE_Tool_Screenshot.png)","","","100"
"75","Unassigned","Siemens Limited","https://www.siemens.com/in/en.html","N/A","Head of Compliance & Digital Governance","+91-22-70461724","info@siemens.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Siemens_Limited_WAVE_Tool_Screenshot.png)","14","14","44"
"76","Unassigned","ABB India Limited","https://new.abb.com/indian-subcontinent","N/A","Head of Compliance & Digital Governance","+91-22-99163355","info@new.abb.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/ABB_India_Limited_WAVE_Tool_Screenshot.png)","","","100"
"77","Unassigned","Bosch Limited","https://www.bosch.in","N/A","Head of Compliance & Digital Governance","+91-22-69931846","info@bosch.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bosch_Limited_WAVE_Tool_Screenshot.png)","","","100"
"78","Unassigned","Cummins India Limited","https://www.cummins.com/en/in","N/A","Head of Compliance & Digital Governance","+91-22-51641060","compliance@cummins.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Cummins_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"79","Unassigned","Bharat Electronics Limited","https://bel-india.in","N/A","Head of Compliance & Digital Governance","+91-22-56101286","compliance@bel-india.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bharat_Electronics_Limited_WAVE_Tool_Screenshot.png)","","",""
"80","Unassigned","Hindustan Aeronautics Limited","https://hal-india.co.in","N/A","Head of Compliance & Digital Governance","+91-22-13659831","itadmin@YourDomain.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Hindustan_Aeronautics_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"81","Unassigned","NTPC Limited","https://www.ntpc.co.in","N/A","Head of Compliance & Digital Governance","+91-22-95639022","info@ntpc.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/NTPC_Limited_WAVE_Tool_Screenshot.png)","5","5","80"
"82","Unassigned","Power Grid Corporation of India Limited","https://www.powergrid.in","N/A","Head of Compliance & Digital Governance","+91-22-36277780","mrinal@powergrid.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Power_Grid_Corporation_of_India_Limited_WAVE_Tool_Screenshot.png)","42","42","30"
"83","Unassigned","Tata Power Company Limited","https://www.tatapower.com","N/A","Head of Compliance & Digital Governance","+91-22-90263005","compliance@tatapower.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Power_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"84","Unassigned","JSW Steel Limited","https://www.jswsteel.in","N/A","Head of Compliance & Digital Governance","+91-22-26907289","info@jswsteel.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/JSW_Steel_Limited_WAVE_Tool_Screenshot.png)","10","10","60"
"85","Unassigned","Tata Steel Limited","https://www.tatasteel.com","N/A","Head of Compliance & Digital Governance","+91-22-96524427","compliance@tatasteel.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Steel_Limited_WAVE_Tool_Screenshot.png)","","",""
"86","Unassigned","Hindalco Industries Limited","https://www.hindalco.com","N/A","Head of Compliance & Digital Governance","+91-22-40921090","hilinvestors@adityabirla.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Hindalco_Industries_Limited_WAVE_Tool_Screenshot.png)","67","67","30"
"87","Unassigned","Vedanta Limited","https://www.vedantalimited.com","N/A","Head of Compliance & Digital Governance","+91-22-28997331","info@vedantalimited.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Vedanta_Limited_WAVE_Tool_Screenshot.png)","","","100"
"88","Unassigned","Coal India Limited","https://www.coalindia.in","N/A","Head of Compliance & Digital Governance","+91-22-92814421","info@coalindia.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Coal_India_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"89","Unassigned","Indian Oil Corporation Limited","https://iocl.com","N/A","Head of Compliance & Digital Governance","+91-22-76679505","compliance@iocl.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Indian_Oil_Corporation_Limited_WAVE_Tool_Screenshot.png)","","",""
"90","Unassigned","Bharat Petroleum Corporation Limited","https://www.bharatpetroleum.in","N/A","Head of Compliance & Digital Governance","+91-22-50508031","info@bharatpetroleum.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bharat_Petroleum_Corporation_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"91","Unassigned","Oil and Natural Gas Corporation Limited","https://ongcindia.com","N/A","Head of Compliance & Digital Governance","+91-22-43293483","ongcdelhicc@ongc.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Oil_and_Natural_Gas_Corporation_Limited_WAVE_Tool_Screenshot.png)","","","100"
"92","Unassigned","GAIL (India) Limited","https://gailonline.com","N/A","Head of Compliance & Digital Governance","+91-22-99965440","info@gailonline.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/GAIL__India__Limited_WAVE_Tool_Screenshot.png)","169","169","30"
"93","Unassigned","DLF Limited","https://www.dlf.in","N/A","Head of Compliance & Digital Governance","+91-22-77185367","DLF_Logo@300x-8.pngDLF","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/DLF_Limited_WAVE_Tool_Screenshot.png)","8","8","68"
"94","Unassigned","Godrej Properties Limited","https://www.godrejproperties.com","N/A","Head of Compliance & Digital Governance","+91-22-82531486","compliance@godrejproperties.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Godrej_Properties_Limited_WAVE_Tool_Screenshot.png)","","",""
"95","Unassigned","Prestige Estates Projects Limited","https://www.prestigeconstructions.com","N/A","Head of Compliance & Digital Governance","+91-22-87895358","info@prestigeconstructions.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Prestige_Estates_Projects_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"96","Unassigned","Oberoi Realty Limited","https://www.oberoirealty.com","N/A","Head of Compliance & Digital Governance","+91-22-90407604","info@oberoirealty.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Oberoi_Realty_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"97","Unassigned","Indian Railway Finance Corporation Limited","https://irfc.co.in","N/A","Head of Compliance & Digital Governance","+91-22-68033933","info@irfc.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Indian_Railway_Finance_Corporation_Limited_WAVE_Tool_Screenshot.png)","32","32","30"
"98","Unassigned","Rail Vikas Nigam Limited","https://rvnl.org","N/A","Head of Compliance & Digital Governance","+91-22-16608666","compliance@rvnl.org","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Rail_Vikas_Nigam_Limited_WAVE_Tool_Screenshot.png)","","",""
