[2026-08-02T05:32:28.525Z] COMPANY: "SEBI Official" | QUERIES: ["SEBI Official" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1474ms | REASON: Resolved via self-search
[2026-08-02T05:33:25.798Z] COMPANY: "SREI VENTURE CAPITAL TRUST" | QUERIES: ["SREI VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1593ms | REASON: Resolved via self-search
[2026-08-02T05:33:27.388Z] COMPANY: "India Advantage Fund IV" | QUERIES: ["India Advantage Fund IV" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1590ms | REASON: Resolved via self-search
[2026-08-02T05:33:28.964Z] COMPANY: "MILESTONE REAL ESTATE FUND (FORMERLY KNOWN AS INDIAN REAL OPPORTUNITY VENTURE CAPITAL FUND)" | QUERIES: ["MILESTONE REAL ESTATE FUND (FORMERLY KNOWN AS INDIAN REAL OPPORTUNITY VENTURE CAPITAL FUND)" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.578Z] COMPANY: "VENTUREEAST TELNET INDIA FUND" | QUERIES: ["VENTUREEAST TELNET INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.581Z] COMPANY: "GUJARAT INFORMATION TECHNOLOGY FUND" | QUERIES: ["GUJARAT INFORMATION TECHNOLOGY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.582Z] COMPANY: "Kerala Venture Capital Fund" | QUERIES: ["Kerala Venture Capital Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.582Z] COMPANY: "West Bengal VCF" | QUERIES: ["West Bengal VCF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.583Z] COMPANY: "ILABS VENTURE CAPITAL FUND" | QUERIES: ["ILABS VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.583Z] COMPANY: "Dunn Carr Management and Research India Private Limited" | QUERIES: ["Dunn Carr Management and Research India Private Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.583Z] COMPANY: "HIVE FUND" | QUERIES: ["HIVE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.584Z] COMPANY: "GUJARAT VENTURE CAPITAL FUND 1995" | QUERIES: ["GUJARAT VENTURE CAPITAL FUND 1995" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.584Z] COMPANY: "Marigold Mezzanine Investment Fund" | QUERIES: ["Marigold Mezzanine Investment Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.584Z] COMPANY: "Industrial Venture Capital Limited" | QUERIES: ["Industrial Venture Capital Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.585Z] COMPANY: "APIDC" | QUERIES: ["APIDC" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.585Z] COMPANY: "SICOM VENTURE CAPITAL FUND" | QUERIES: ["SICOM VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.586Z] COMPANY: "PUNJAB INFOTECH VENTURE FUND" | QUERIES: ["PUNJAB INFOTECH VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.586Z] COMPANY: "NATIONAL VENTURE FUND FOR SOFTWARE AND IT INDUSTRY" | QUERIES: ["NATIONAL VENTURE FUND FOR SOFTWARE AND IT INDUSTRY" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.586Z] COMPANY: "Gujarat VCF - 1990" | QUERIES: ["Gujarat VCF - 1990" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.587Z] COMPANY: "UTI - India Technology Venture unit scheme" | QUERIES: ["UTI - India Technology Venture unit scheme" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.587Z] COMPANY: "KSK TRUST PRIVATE LIMITED" | QUERIES: ["KSK TRUST PRIVATE LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.587Z] COMPANY: "Rajasthan Venture Capital Fund" | QUERIES: ["Rajasthan Venture Capital Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.587Z] COMPANY: "SREI VENTURE CAPITAL LIMITED" | QUERIES: ["SREI VENTURE CAPITAL LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.588Z] COMPANY: "Emerging Sectors Trust" | QUERIES: ["Emerging Sectors Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.588Z] COMPANY: "OPULANT VENTURE CAPITAL TRUST" | QUERIES: ["OPULANT VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.588Z] COMPANY: "India Advantage Fund I" | QUERIES: ["India Advantage Fund I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.589Z] COMPANY: "THE TECHNOLOGY VENTURE FUND" | QUERIES: ["THE TECHNOLOGY VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.589Z] COMPANY: "VENTUREEAST TELNET INDIA FUND" | QUERIES: ["VENTUREEAST TELNET INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.589Z] COMPANY: "FIRE CAPITAL FUND" | QUERIES: ["FIRE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.590Z] COMPANY: "IL&FS PRIVATE EQUITY TRUST" | QUERIES: ["IL&FS PRIVATE EQUITY TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.590Z] COMPANY: "SPICE CAPITAL FUND" | QUERIES: ["SPICE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.590Z] COMPANY: "HDFC Property Fund" | QUERIES: ["HDFC Property Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.590Z] COMPANY: "EUREKA VENTURE FUND" | QUERIES: ["EUREKA VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.591Z] COMPANY: "KOTAK SEAF INDIA FUND" | QUERIES: ["KOTAK SEAF INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.591Z] COMPANY: "GUJARAT BIOTECHNOLOGY VENTURE FUND" | QUERIES: ["GUJARAT BIOTECHNOLOGY VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.591Z] COMPANY: "KSHITIJ VENTURE FUND" | QUERIES: ["KSHITIJ VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.591Z] COMPANY: "INDIA PROPERTY FUND" | QUERIES: ["INDIA PROPERTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.592Z] COMPANY: "India Advantage Fund III" | QUERIES: ["India Advantage Fund III" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.592Z] COMPANY: "IDFC INFRASTRUCTURE FUND 2" | QUERIES: ["IDFC INFRASTRUCTURE FUND 2" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.592Z] COMPANY: "RELIANCE INDIA POWER FUND" | QUERIES: ["RELIANCE INDIA POWER FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.593Z] COMPANY: "Solitaire Capital India" | QUERIES: ["Solitaire Capital India" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.593Z] COMPANY: "ANAND RATHI REALTY FUND" | QUERIES: ["ANAND RATHI REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.593Z] COMPANY: "SREI VENTURE CAPITAL TRUST" | QUERIES: ["SREI VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.594Z] COMPANY: "India Advantage Fund IV" | QUERIES: ["India Advantage Fund IV" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:29.595Z] COMPANY: "MILESTONE REAL ESTATE FUND (FORMERLY KNOWN AS INDIAN REAL OPPORTUNITY VENTURE CAPITAL FUND)" | QUERIES: ["MILESTONE REAL ESTATE FUND (FORMERLY KNOWN AS INDIAN REAL OPPORTUNITY VENTURE CAPITAL FUND)" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via self-search
[2026-08-02T05:33:30.552Z] COMPANY: "DHFL VETURE CAPITAL FUND" | QUERIES: ["DHFL VETURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1588ms | REASON: Resolved via self-search
[2026-08-02T05:33:31.225Z] COMPANY: "DHFL VETURE CAPITAL FUND" | QUERIES: ["DHFL VETURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1630ms | REASON: Resolved via self-search
[2026-08-02T05:33:32.144Z] COMPANY: "INDIAREIT FUND" | QUERIES: ["INDIAREIT FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1591ms | REASON: Resolved via self-search
[2026-08-02T05:33:32.803Z] COMPANY: "INDIAREIT FUND" | QUERIES: ["INDIAREIT FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1577ms | REASON: Resolved via self-search
[2026-08-02T05:33:33.715Z] COMPANY: "INDIA ADVANTAGE FUND V" | QUERIES: ["INDIA ADVANTAGE FUND V" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-02T05:33:34.377Z] COMPANY: "INDIA ADVANTAGE FUND V" | QUERIES: ["INDIA ADVANTAGE FUND V" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1574ms | REASON: Resolved via self-search
[2026-08-02T05:33:35.299Z] COMPANY: "India Realty Venture capital Fund" | QUERIES: ["India Realty Venture capital Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1583ms | REASON: Resolved via self-search
[2026-08-02T05:33:35.960Z] COMPANY: "India Realty Venture capital Fund" | QUERIES: ["India Realty Venture capital Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1582ms | REASON: Resolved via self-search
[2026-08-02T05:33:36.872Z] COMPANY: "VOLRADO VENTURE PARTNERS" | QUERIES: ["VOLRADO VENTURE PARTNERS" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1573ms | REASON: Resolved via self-search
[2026-08-02T05:33:37.539Z] COMPANY: "VOLRADO VENTURE PARTNERS" | QUERIES: ["VOLRADO VENTURE PARTNERS" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1579ms | REASON: Resolved via self-search
[2026-08-02T05:33:38.461Z] COMPANY: "CIG REALTY FUND" | QUERIES: ["CIG REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1589ms | REASON: Resolved via self-search
[2026-08-02T05:33:39.119Z] COMPANY: "CIG REALTY FUND" | QUERIES: ["CIG REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1579ms | REASON: Resolved via self-search
[2026-08-02T05:33:40.049Z] COMPANY: "AUREOS INDIA FUND" | QUERIES: ["AUREOS INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1588ms | REASON: Resolved via self-search
[2026-08-02T05:33:40.690Z] COMPANY: "AUREOS INDIA FUND" | QUERIES: ["AUREOS INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-02T05:33:41.635Z] COMPANY: "RELIANCE ALTERNATIVE INVESTMENTS FUNDS (FORMERLY KNOWN AS RELIANCE VENTURE CAPITAL FUND)" | QUERIES: ["RELIANCE ALTERNATIVE INVESTMENTS FUNDS (FORMERLY KNOWN AS RELIANCE VENTURE CAPITAL FUND)" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1586ms | REASON: Resolved via self-search
[2026-08-02T05:33:42.268Z] COMPANY: "RELIANCE ALTERNATIVE INVESTMENTS FUNDS (FORMERLY KNOWN AS RELIANCE VENTURE CAPITAL FUND)" | QUERIES: ["RELIANCE ALTERNATIVE INVESTMENTS FUNDS (FORMERLY KNOWN AS RELIANCE VENTURE CAPITAL FUND)" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1578ms | REASON: Resolved via self-search
[2026-08-02T05:33:43.213Z] COMPANY: "Nilanchal Capitals Pvt Ltd" | QUERIES: ["Nilanchal Capitals Pvt Ltd" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1578ms | REASON: Resolved via self-search
[2026-08-02T05:33:43.839Z] COMPANY: "Nilanchal Capitals Pvt Ltd" | QUERIES: ["Nilanchal Capitals Pvt Ltd" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1570ms | REASON: Resolved via self-search
[2026-08-02T05:33:44.795Z] COMPANY: "BTS INDIA PRIVATE EQUITY FUND LIMITED" | QUERIES: ["BTS INDIA PRIVATE EQUITY FUND LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1582ms | REASON: Resolved via self-search
[2026-08-02T05:33:45.409Z] COMPANY: "BTS INDIA PRIVATE EQUITY FUND LIMITED" | QUERIES: ["BTS INDIA PRIVATE EQUITY FUND LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1570ms | REASON: Resolved via self-search
[2026-08-02T05:33:46.382Z] COMPANY: "Quest India Fund" | QUERIES: ["Quest India Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1587ms | REASON: Resolved via self-search
[2026-08-02T05:33:46.982Z] COMPANY: "Quest India Fund" | QUERIES: ["Quest India Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1573ms | REASON: Resolved via self-search
