Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"11","Unassigned","Baroda BNP Paribas Mutual Fund","https://www.barodabnpparibasmf.in","readymade-fallback","HIGH","NO","N/A","cs.barodabnppmf@kfintech.com","[General Contact Email] cs.barodabnppmf@kfintech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 46. Lighthouse A11y: 30/100."
"12","Unassigned","CANARA ROBECO MF","https://www.canararobeco.com","readymade-fallback","HIGH","NO","N/A","crmf@canararobeco.com","[Investor Grievance / Compliance Officer Email] crmf@canararobeco.com; [General Contact Email] crmf@canararobeco.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"13","Unassigned","CRB MF","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"14","Unassigned","Capitalmind Mutual Fund","https://capitalmindmf.com","readymade-fallback","HIGH","NO","N/A","support@capitalmindmf.com","[Investor Grievance / Compliance Officer Email] support@capitalmindmf.com; [General Contact Email] support@capitalmindmf.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"15","Unassigned","Carnelian Asset Management and Advisors Private Limited","https://www.carnelianamc.com","readymade-fallback","HIGH","NO","N/A","info@carnelianamc.com","[General Contact Email (Guessed Pattern)] info@carnelianamc.com; [Investor Grievance Email (Guessed Pattern)] contact@carnelianamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"16","Unassigned","Choice Mutual Fund","https://mf.choiceindia.com","readymade-fallback","HIGH","NO","N/A","info@mf.choiceindia.com","[General Contact Email (Guessed Pattern)] info@mf.choiceindia.com; [Investor Grievance Email (Guessed Pattern)] contact@mf.choiceindia.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 21. Lighthouse A11y: 30/100."
"17","Unassigned","DSP MF","https://www.dspim.com","readymade-fallback","HIGH","NO","N/A","abhi@dspim.com","[General Contact Email] abhi@dspim.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 61. Lighthouse A11y: 30/100."
"18","Unassigned","EDELWEISS MF","https://www.edelweissmf.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"19","Unassigned","FRANKLIN TEMPLETON MF","https://www.franklintempletonindia.com","readymade-fallback","HIGH","NO","N/A","service@franklintempleton.com","[General Contact Email] service@franklintempleton.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 30. Lighthouse A11y: 30/100."
"20","Unassigned","Groww Mutual Fund","https://groww.in/mutual-funds","readymade-fallback","HIGH","NO","N/A","grievances@groww.in","[Investor Grievance / Compliance Officer Email] grievances@groww.in; [General Contact Email] grievances@groww.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 74. Lighthouse A11y: 30/100."
"21","Unassigned","HDFC MF","https://www.hdfcfund.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"22","Unassigned","HSBC MF","https://www.assetmanagement.hsbc.co.in","readymade-fallback","HIGH","NO","N/A","xxx@xxx.xxx","[Investor Grievance / Compliance Officer Email] investor.line@mutualfunds.hsbc.co.in; [General Contact Email] xxx@xxx.xxx","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"23","Unassigned","Helios Mutual Fund","https://www.helioscapital.in","readymade-fallback","HIGH","NO","N/A","info@helioscapital.in","[General Contact Email (Guessed Pattern)] info@helioscapital.in; [Investor Grievance Email (Guessed Pattern)] contact@helioscapital.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"24","Unassigned","ICICI PRUDENTIAL MF","https://www.icicipruamc.com","readymade-fallback","HIGH","NO","N/A","info@icicipruamc.com","[General Contact Email (Guessed Pattern)] info@icicipruamc.com; [Investor Grievance Email (Guessed Pattern)] contact@icicipruamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 37. Lighthouse A11y: 30/100."
"25","Unassigned","IDBI MUTUAL FUND","https://www.idbimutual.co.in","readymade-fallback","HIGH","NO","N/A","info@idbimutual.co.in","[General Contact Email (Guessed Pattern)] info@idbimutual.co.in; [Investor Grievance Email (Guessed Pattern)] contact@idbimutual.co.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"26","Unassigned","IIFCL MF (IDF)","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"27","Unassigned","IL&FS IDF MF","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"28","Unassigned","ITI Mutual Fund","https://www.itimf.com","readymade-fallback","HIGH","NO","N/A","contact@itimf.com","[General Contact Email] contact@itimf.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 38. Lighthouse A11y: 30/100."
"29","Unassigned","Invesco Mutual Fund","https://www.invescomutualfund.com","readymade-fallback","HIGH","NO","N/A","RootId@odata.type","[General Contact Email] RootId@odata.type","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"30","Unassigned","JM FINANCIAL MF","https://www.jmfinancialmf.com","readymade-fallback","HIGH","NO","N/A","investor@jmfl.com","[General Contact Email] investor@jmfl.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"31","Unassigned","Jio BlackRock Mutual Fund","https://www.jioblackrockamc.com","readymade-fallback","HIGH","NO","N/A","service@jioblackrockamc.com","[General Contact Email] service@jioblackrockamc.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"32","Unassigned","Kotak Mutual Fund","https://www.kotakmf.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (request unblock)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (request unblock)"
"33","Unassigned","LIC MF","https://www.licmf.com","readymade-fallback","HIGH","NO","N/A","service_licmf@kfintech.com","[Investor Grievance / Compliance Officer Email] service_licmf@kfintech.com; [General Contact Email] service_licmf@kfintech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 29. Lighthouse A11y: 30/100."
"34","Unassigned","MIRAE ASSET MF","https://www.miraeassetmf.co.in","readymade-fallback","HIGH","NO","N/A","customercare@miraeasset.com","[General Contact Email] customercare@miraeasset.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 49. Lighthouse A11y: 30/100."
"35","Unassigned","MOTILAL OSWAL MF","https://www.motilaloswalmf.com","readymade-fallback","HIGH","NO","N/A","info@motilaloswalmf.com","[General Contact Email (Guessed Pattern)] info@motilaloswalmf.com; [Investor Grievance Email (Guessed Pattern)] contact@motilaloswalmf.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"36","Unassigned","Mahindra Manulife Mutual Fund","https://www.mahindramanulife.com","readymade-fallback","HIGH","NO","N/A","info@mahindramanulife.com","[General Contact Email (Guessed Pattern)] info@mahindramanulife.com; [Investor Grievance Email (Guessed Pattern)] contact@mahindramanulife.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"37","Unassigned","Monarch Networth Capital Limited","https://www.mnclgroup.com","readymade-fallback","HIGH","NO","N/A","helpdesk@mnclgroup.com","[Investor Grievance / Compliance Officer Email] helpdesk@mnclgroup.com; [General Contact Email] helpdesk@mnclgroup.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 10. Lighthouse A11y: 60/100."
"38","Unassigned","N J Mutual Fund","https://www.njmutualfund.com","readymade-fallback","HIGH","NO","N/A","customercare@njmutualfund.com","[General Contact Email] customercare@njmutualfund.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"39","Unassigned","NAVI MUTUAL FUND","https://www.navimutualfund.com","readymade-fallback","HIGH","NO","N/A","info@navimutualfund.com","[General Contact Email (Guessed Pattern)] info@navimutualfund.com; [Investor Grievance Email (Guessed Pattern)] contact@navimutualfund.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"40","Unassigned","Nippon India Mutual Fund","https://mf.nipponindiaim.com","readymade-fallback","HIGH","NO","N/A","info@mf.nipponindiaim.com","[General Contact Email (Guessed Pattern)] info@mf.nipponindiaim.com; [Investor Grievance Email (Guessed Pattern)] contact@mf.nipponindiaim.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 19. Lighthouse A11y: 30/100."
"41","Unassigned","Nuvama Mutual Fund","https://www.nuvamaassetmanagement.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"42","Unassigned","Old Bridge Mutual Fund","https://www.oldbridgemf.com","readymade-fallback","HIGH","NO","N/A","services@oldbridgemf.com","[Investor Grievance / Compliance Officer Email] services@oldbridgemf.com; [General Contact Email] services@oldbridgemf.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"43","Unassigned","PGIM INDIA MUTUAL FUND","https://www.pgimindiamf.com","readymade-fallback","HIGH","NO","N/A","info@pgimindiamf.com","[General Contact Email (Guessed Pattern)] info@pgimindiamf.com; [Investor Grievance Email (Guessed Pattern)] contact@pgimindiamf.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"44","Unassigned","PPFAS MF","https://amc.ppfas.com","readymade-fallback","HIGH","NO","N/A","mf@ppfas.com","[General Contact Email] mf@ppfas.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 46. Lighthouse A11y: 30/100."
"45","Unassigned","QUANTUM MF","https://www.quantumamc.com","readymade-fallback","HIGH","NO","N/A","CustomerCare@QuantumAMC.com","[General Contact Email] CustomerCare@QuantumAMC.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"46","Unassigned","Quant Mutual Fund","https://www.quantmutual.com","readymade-fallback","HIGH","NO","N/A","help.investor@quant.in","[Investor Grievance / Compliance Officer Email] help.investor@quant.in; [General Contact Email] help.investor@quant.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"47","Unassigned","SAMCO MUTUAL FUND","https://www.samco.mf.in","readymade-fallback","HIGH","NO","N/A","info@samco.mf.in","[General Contact Email (Guessed Pattern)] info@samco.mf.in; [Investor Grievance Email (Guessed Pattern)] contact@samco.mf.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"48","Unassigned","SBI MF","https://www.sbimf.com","readymade-fallback","HIGH","NO","N/A","customer.delight@sbimf.com","[General Contact Email] customer.delight@sbimf.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 17. Lighthouse A11y: 32/100."
"49","Unassigned","SHRIRAM MF","https://www.shriramamc.com","readymade-fallback","HIGH","NO","N/A","info@shriramamc.com","[General Contact Email (Guessed Pattern)] info@shriramamc.com; [Investor Grievance Email (Guessed Pattern)] contact@shriramamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"50","Unassigned","SUNDARAM MF","https://www.sundarammutual.com","readymade-fallback","HIGH","NO","N/A","customerservices@sundarammutual.com","[Investor Grievance / Compliance Officer Email] grievanceredressal@sundarammutual.com; [General Contact Email] customerservices@sundarammutual.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 64. Lighthouse A11y: 30/100."
"51","Unassigned","TAURUS MF","https://www.taurusmutualfund.com","readymade-fallback","HIGH","NO","N/A","info@taurusmutualfund.com","[General Contact Email (Guessed Pattern)] info@taurusmutualfund.com; [Investor Grievance Email (Guessed Pattern)] contact@taurusmutualfund.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 17. Lighthouse A11y: 32/100."
"52","Unassigned","TRUST MUTUAL FUND","https://www.trustmf.com","readymade-fallback","HIGH","NO","N/A","info@trustmf.com","[General Contact Email (Guessed Pattern)] info@trustmf.com; [Investor Grievance Email (Guessed Pattern)] contact@trustmf.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"53","Unassigned","Tata Mutual Fund","https://www.tatamutualfund.com","readymade-fallback","HIGH","NO","N/A","service@tataamc.com","[General Contact Email] service@tataamc.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"54","Unassigned","The Wealth Company Mutual Fund","https://www.thewealthcompany.in","readymade-fallback","HIGH","NO","N/A","info@thewealthcompany.in","[General Contact Email (Guessed Pattern)] info@thewealthcompany.in; [Investor Grievance Email (Guessed Pattern)] contact@thewealthcompany.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"55","Unassigned","UTI  MF","https://www.utimf.com","readymade-fallback","HIGH","NO","N/A","service@uti.co.in","[General Contact Email] service@uti.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 30. Lighthouse A11y: 30/100."
"56","Unassigned","Unifi Mutual Fund","https://www.unifimf.com","readymade-fallback","HIGH","NO","N/A","services@unifimf.com","[General Contact Email] services@unifimf.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 12. Lighthouse A11y: 52/100."
"57","Unassigned","Union Mutual Fund","https://www.unionmf.com","readymade-fallback","HIGH","NO","N/A","investorcare@unionmf.com","[Investor Grievance / Compliance Officer Email] partner.assist@unionmf.com; [General Contact Email] investorcare@unionmf.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 18. Lighthouse A11y: 30/100."
"58","Unassigned","WEALTH FIRST PORTFOLIO MANAGERS LIMITED","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"59","Unassigned","WhiteOak Capital Mutual Fund","https://www.whiteoakamc.com","readymade-fallback","HIGH","NO","N/A","info@whiteoakamc.com","[General Contact Email (Guessed Pattern)] info@whiteoakamc.com; [Investor Grievance Email (Guessed Pattern)] contact@whiteoakamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"60","Unassigned","Zerodha Mutual Fund","https://zerodhafundhouse.com","readymade-fallback","HIGH","NO","N/A","support@zerodhafundhouse.com","[General Contact Email] support@zerodhafundhouse.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 14. Lighthouse A11y: 44/100."
