Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"13","Unassigned","ABM International Limited","https://abmintl.in","Yes","Yes","Yes","5","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ABM_International_Limited/screenshots/ABM_International_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@abmintl.in","General Contact Email","Accessibility & Nodal Officer","info@abmintl.in"
"14","Unassigned","ABM Knowledgeware Limited","https://abmindia.com","Yes","Yes","Yes","77","77","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ABM_Knowledgeware_Limited/screenshots/ABM_Knowledgeware_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","egovernance@abmindia.com, cs@abmindia.com","General Contact Email","Accessibility & Nodal Officer","egovernance@abmindia.com, cs@abmindia.com"
"15","Unassigned","ACC Limited","https://acclimited.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ACC_Limited/screenshots/ACC_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@acclimited.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@acclimited.com"
"16","Unassigned","ACS Technologies Limited","https://acstechnologies.co.in","Yes","Yes","Yes","9","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ACS_Technologies_Limited/screenshots/ACS_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@acstechnologies.co.in","General Contact Email","Accessibility & Nodal Officer","info@acstechnologies.co.in"
"17","Unassigned","ADF Foods Limited","https://adf-foods.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ADF_Foods_Limited/screenshots/ADF_Foods_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@adf-foods.com","General Contact Email","Accessibility & Nodal Officer","info@adf-foods.com"
"18","Unassigned","AGI Greenpac Limited","https://agigreenpac.com","Yes","Yes","Yes","4","4","84","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AGI_Greenpac_Limited/screenshots/AGI_Greenpac_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","agi@agi-glaspac.com","General Contact Email","Accessibility & Nodal Officer","agi@agi-glaspac.com"
"19","Unassigned","AIA Engineering Limited","https://aiaengineering.com","Yes","Yes","No","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AIA_Engineering_Limited/screenshots/AIA_Engineering_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@aiaengineering.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@aiaengineering.com"
"20","Unassigned","AION-TECH SOLUTIONS LIMITED","https://aiontech.es","Yes","Yes","Yes","7","7","72","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AION_TECH_SOLUTIONS_LIMITED/screenshots/AION_TECH_SOLUTIONS_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","hola@aiontech.es","General Contact Email","Accessibility & Nodal Officer","hola@aiontech.es"
"21","Unassigned","AKI India Limited","https://akinator.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AKI_India_Limited/screenshots/AKI_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"22","Unassigned","AK Capital Services Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AK_Capital_Services_Limited/screenshots/AK_Capital_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"23","Unassigned","AMD Industries Limited","https://amdpop.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AMD_Industries_Limited/screenshots/AMD_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@amdpop.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@amdpop.com"
"24","Unassigned","ANDHRA PAPER LIMITED","https://andhrapaper.com","Yes","Yes","Yes","29","29","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ANDHRA_PAPER_LIMITED/screenshots/ANDHRA_PAPER_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@andhrapaper.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@andhrapaper.com"
"25","Unassigned","APL Apollo Tubes Limited","https://aplapollo.com","Yes","Yes","Yes","21","21","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/APL_Apollo_Tubes_Limited/screenshots/APL_Apollo_Tubes_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@aplapollo.com","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","global@aplapollo.com"
"26","Unassigned","ASK Automotive Limited","https://askbrake.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ASK_Automotive_Limited/screenshots/ASK_Automotive_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"27","Unassigned","ATLANTAA LIMITED","https://atlanta-airport.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ATLANTAA_LIMITED/screenshots/ATLANTAA_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@atlanta-airport.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@atlanta-airport.com"
"28","Unassigned","AURUS GEM CORPORATION LIMITED","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AURUS_GEM_CORPORATION_LIMITED/screenshots/AURUS_GEM_CORPORATION_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"29","Unassigned","AU Small Finance Bank Limited","https://aubank.in","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AU_Small_Finance_Bank_Limited/screenshots/AU_Small_Finance_Bank_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"30","Unassigned","AVG Logistics Limited","https://avglogistics.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AVG_Logistics_Limited/screenshots/AVG_Logistics_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"31","Unassigned","AVRO INDIA LIMITED","https://avrotros.nl","Yes","Yes","Yes","1","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AVRO_INDIA_LIMITED/screenshots/AVRO_INDIA_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@avrotros.nl","General Contact Email","Accessibility & Nodal Officer","info@avrotros.nl"
"32","Unassigned","AVT Natural Products Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AVT_Natural_Products_Limited/screenshots/AVT_Natural_Products_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"33","Unassigned","AWL Agri Business Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AWL_Agri_Business_Limited/screenshots/AWL_Agri_Business_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"34","Unassigned","AXISCADES Technologies Limited","https://axiscades.com","Yes","Yes","Yes","5","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AXISCADES_Technologies_Limited/screenshots/AXISCADES_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@axiscades.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@axiscades.com"
"35","Unassigned","AYM Syntex Limited","https://aymsyntex.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/AYM_Syntex_Limited/screenshots/AYM_Syntex_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@aymsyntex.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@aymsyntex.com"
"36","Unassigned","A B Cotspin India Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/A_B_Cotspin_India_Limited/screenshots/A_B_Cotspin_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"37","Unassigned","A B Infrabuild Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/A_B_Infrabuild_Limited/screenshots/A_B_Infrabuild_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"38","Unassigned","Aadhar Housing Finance Limited","https://aadharhousing.com","Yes","Yes","Yes","2","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aadhar_Housing_Finance_Limited/screenshots/Aadhar_Housing_Finance_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@aadharhousing.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@aadharhousing.com"
"39","Unassigned","Aakash Exploration Services Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aakash_Exploration_Services_Limited/screenshots/Aakash_Exploration_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"40","Unassigned","Aarey Drugs & Pharmaceuticals Limited","https://aareydrugs.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aarey_Drugs___Pharmaceuticals_Limited/screenshots/Aarey_Drugs___Pharmaceuticals_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"41","Unassigned","Aarnav Fashions Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aarnav_Fashions_Limited/screenshots/Aarnav_Fashions_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"42","Unassigned","Aaron Industries Limited","https://aaronindustries.net","Yes","Yes","Yes","22","22","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aaron_Industries_Limited/screenshots/Aaron_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","tds@bigshareonline.com","General Contact Email","Accessibility & Nodal Officer","tds@bigshareonline.com"
"43","Unassigned","Aartech Solonics Limited","https://aartechsolonics.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aartech_Solonics_Limited/screenshots/Aartech_Solonics_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@aartechsolonics.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@aartechsolonics.com"
"44","Unassigned","Aarti Drugs Limited","https://aartidrugs.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aarti_Drugs_Limited/screenshots/Aarti_Drugs_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"45","Unassigned","Aarti Industries Limited","https://aarti-industries.com","Yes","Yes","Yes","15","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aarti_Industries_Limited/screenshots/Aarti_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@aarti-industries.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@aarti-industries.com"
"46","Unassigned","Aarti Pharmalabs Limited","https://aartipharmalabs.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aarti_Pharmalabs_Limited/screenshots/Aarti_Pharmalabs_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@aartipharmalabs.com","General Contact Email","Accessibility & Nodal Officer","info@aartipharmalabs.com"
"47","Unassigned","Aarti Surfactants Limited","https://aarti-surfactants.com","Yes","Yes","Yes","11","11","56","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aarti_Surfactants_Limited/screenshots/Aarti_Surfactants_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","sales@aarti-surfactants.com","General Contact Email","Accessibility & Nodal Officer","sales@aarti-surfactants.com"
"48","Unassigned","Aarvi Encon Limited","https://aarviencon.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aarvi_Encon_Limited/screenshots/Aarvi_Encon_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"49","Unassigned","Aastha Spintex Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aastha_Spintex_Limited/screenshots/Aastha_Spintex_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"50","Unassigned","Aavas Financiers Limited","https://aavas.in","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Aavas_Financiers_Limited/screenshots/Aavas_Financiers_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
