[2026-08-06T19:36:05.244Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [https://20microns.com] | SELECTED: "https://20microns.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:43:09.930Z] COMPANY: "Accuracy Shipping Limited" | QUERIES: ["Accuracy Shipping Limited" official website] | CANDIDATES: [https://aslindia.net] | SELECTED: "https://aslindia.net" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:43:25.439Z] COMPANY: "Action Construction Equipment Limited" | QUERIES: ["Action Construction Equipment Limited" official website] | CANDIDATES: [https://ace-cranes.com] | SELECTED: "https://ace-cranes.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:43:28.511Z] COMPANY: "Ace Integrated Solutions Limited" | QUERIES: ["Ace Integrated Solutions Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:43:34.184Z] COMPANY: "Archean Chemical Industries Limited" | QUERIES: ["Archean Chemical Industries Limited" official website] | CANDIDATES: [https://archeanchemicals.com] | SELECTED: "https://archeanchemicals.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:43:45.761Z] COMPANY: "Andhra Cements Limited" | QUERIES: ["Andhra Cements Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:43:52.202Z] COMPANY: "Acme Solar Holdings Limited" | QUERIES: ["Acme Solar Holdings Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:00.380Z] COMPANY: "ACS Technologies Limited" | QUERIES: ["ACS Technologies Limited" official website] | CANDIDATES: [https://acstechnologies.co.in] | SELECTED: "https://acstechnologies.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:08.136Z] COMPANY: "Acutaas Chemicals Limited" | QUERIES: ["Acutaas Chemicals Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:14.771Z] COMPANY: "Adani Energy Solutions Limited" | QUERIES: ["Adani Energy Solutions Limited" official website] | CANDIDATES: [https://adanienergysolutions.com] | SELECTED: "https://adanienergysolutions.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:27.034Z] COMPANY: "Adani Enterprises Limited" | QUERIES: ["Adani Enterprises Limited" official website] | CANDIDATES: [https://adanielectricity.com] | SELECTED: "https://adanielectricity.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:37.905Z] COMPANY: "Adani Green Energy Limited" | QUERIES: ["Adani Green Energy Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:43.280Z] COMPANY: "Adani Ports and Special Economic Zone Limited" | QUERIES: ["Adani Ports and Special Economic Zone Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:47.907Z] COMPANY: "Adani Power Limited" | QUERIES: ["Adani Power Limited" official website] | CANDIDATES: [https://adanipower.com] | SELECTED: "https://adanipower.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:44:59.390Z] COMPANY: "ADF Foods Limited" | QUERIES: ["ADF Foods Limited" official website] | CANDIDATES: [https://adf-foods.com] | SELECTED: "https://adf-foods.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:45:20.045Z] COMPANY: "Archidply Decor Limited" | QUERIES: ["Archidply Decor Limited" official website] | CANDIDATES: [https://archidplydecor.com] | SELECTED: "https://archidplydecor.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:45:22.460Z] COMPANY: "Ador Welding Limited" | QUERIES: ["Ador Welding Limited" official website] | CANDIDATES: [https://adorwelding.com] | SELECTED: "https://adorwelding.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:45:23.841Z] COMPANY: "Adroit Infotech Limited" | QUERIES: ["Adroit Infotech Limited" official website] | CANDIDATES: [https://adroitinfotech.com] | SELECTED: "https://adroitinfotech.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:45:48.551Z] COMPANY: "Allied Digital Services Limited" | QUERIES: ["Allied Digital Services Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:45:53.962Z] COMPANY: "Advait Energy Transitions Limited" | QUERIES: ["Advait Energy Transitions Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:45:59.724Z] COMPANY: "Advance Agrolife Limited" | QUERIES: ["Advance Agrolife Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:46:05.110Z] COMPANY: "Advani Hotels & Resorts (India) Limited" | QUERIES: ["Advani Hotels & Resorts (India) Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:46:12.848Z] COMPANY: "Advent Hotels International Limited" | QUERIES: ["Advent Hotels International Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:46:18.012Z] COMPANY: "Advanced Enzyme Technologies Limited" | QUERIES: ["Advanced Enzyme Technologies Limited" official website] | CANDIDATES: [https://advancedenzymes.com] | SELECTED: "https://advancedenzymes.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:46:30.012Z] COMPANY: "Aegis Logistics Limited" | QUERIES: ["Aegis Logistics Limited" official website] | CANDIDATES: [https://aegislogistics.com] | SELECTED: "https://aegislogistics.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:46:39.695Z] COMPANY: "Aegis Vopak Terminals Limited" | QUERIES: ["Aegis Vopak Terminals Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:46:44.226Z] COMPANY: "Artemis Electricals and Projects Limited" | QUERIES: ["Artemis Electricals and Projects Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:46:49.455Z] COMPANY: "Aequs Limited" | QUERIES: ["Aequs Limited" official website] | CANDIDATES: [https://aequs.com] | SELECTED: "https://aequs.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:47:24.330Z] COMPANY: "Aeroflex Enterprises Limited" | QUERIES: ["Aeroflex Enterprises Limited" official website] | CANDIDATES: [https://aeroflex.co.il] | SELECTED: "https://aeroflex.co.il" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:47:27.319Z] COMPANY: "Aeroflex Industries Limited" | QUERIES: ["Aeroflex Industries Limited" official website] | CANDIDATES: [https://aeroflexindia.com] | SELECTED: "https://aeroflexindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:47:51.317Z] COMPANY: "Aeroflex Neu Limited" | QUERIES: ["Aeroflex Neu Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:47:56.874Z] COMPANY: "Amir Chand Jagdish Kumar (Exports) Limited" | QUERIES: ["Amir Chand Jagdish Kumar (Exports) Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:48:04.323Z] COMPANY: "Aether Industries Limited" | QUERIES: ["Aether Industries Limited" official website] | CANDIDATES: [https://aether.co.in] | SELECTED: "https://aether.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:48:05.533Z] COMPANY: "Afcons Infrastructure Limited" | QUERIES: ["Afcons Infrastructure Limited" official website] | CANDIDATES: [https://afcons.com] | SELECTED: "https://afcons.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:48:24.686Z] COMPANY: "Affle 3i Limited" | QUERIES: ["Affle 3i Limited" official website] | CANDIDATES: [https://affleico.com] | SELECTED: "https://affleico.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:48:32.334Z] COMPANY: "Affordable Robotic & Automation Limited" | QUERIES: ["Affordable Robotic & Automation Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:48:38.416Z] COMPANY: "Akme Fintrade (India) Limited" | QUERIES: ["Akme Fintrade (India) Limited" official website] | CANDIDATES: [https://akmefintrade.com] | SELECTED: "https://akmefintrade.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:48:57.567Z] COMPANY: "Abans Financial Services Limited" | QUERIES: ["Abans Financial Services Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:05.279Z] COMPANY: "Agarwal Industrial Corporation Limited" | QUERIES: ["Agarwal Industrial Corporation Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:10.241Z] COMPANY: "Dr. Agarwal's Health Care Limited" | QUERIES: ["Dr. Agarwal's Health Care Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:16.536Z] COMPANY: "AGI Greenpac Limited" | QUERIES: ["AGI Greenpac Limited" official website] | CANDIDATES: [https://agigreenpac.com] | SELECTED: "https://agigreenpac.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:28.164Z] COMPANY: "Agi Infra Limited" | QUERIES: ["Agi Infra Limited" official website] | CANDIDATES: [https://agiinfra.com] | SELECTED: "https://agiinfra.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:29.898Z] COMPANY: "Allcargo Global Limited" | QUERIES: ["Allcargo Global Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:34.937Z] COMPANY: "Agri-Tech (India) Limited" | QUERIES: ["Agri-Tech (India) Limited" official website] | CANDIDATES: [https://agritechtomorrow.com] | SELECTED: "https://agritechtomorrow.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:43.507Z] COMPANY: "Agro Phos India Limited" | QUERIES: ["Agro Phos India Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:51.475Z] COMPANY: "Anlon Healthcare Limited" | QUERIES: ["Anlon Healthcare Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:49:59.265Z] COMPANY: "Ahlada Engineers Limited" | QUERIES: ["Ahlada Engineers Limited" official website] | CANDIDATES: [https://ahlada.com] | SELECTED: "https://ahlada.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:50:11.387Z] COMPANY: "Asian Hotels (East) Limited" | QUERIES: ["Asian Hotels (East) Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:50:16.858Z] COMPANY: "Ahluwalia Contracts (India) Limited" | QUERIES: ["Ahluwalia Contracts (India) Limited" official website] | CANDIDATES: [https://acilnet.com] | SELECTED: "https://acilnet.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:50:26.748Z] COMPANY: "Asian Hotels (West) Limited" | QUERIES: ["Asian Hotels (West) Limited" official website] | CANDIDATES: [https://asianhotelswest.com] | SELECTED: "https://asianhotelswest.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:50:34.215Z] COMPANY: "AIA Engineering Limited" | QUERIES: ["AIA Engineering Limited" official website] | CANDIDATES: [https://aiaengineering.com] | SELECTED: "https://aiaengineering.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:50:40.649Z] COMPANY: "Authum Investment & Infrastructure Limited" | QUERIES: ["Authum Investment & Infrastructure Limited" official website] | CANDIDATES: [https://authum.com] | SELECTED: "https://authum.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:50:41.268Z] COMPANY: "Airan Limited" | QUERIES: ["Airan Limited" official website] | CANDIDATES: [https://airanlimited.in] | SELECTED: "https://airanlimited.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:50:53.345Z] COMPANY: "Airo Lam limited" | QUERIES: ["Airo Lam limited" official website] | CANDIDATES: [https://airolam.com] | SELECTED: "https://airolam.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:55:00.253Z] COMPANY: "Ajanta Pharma Limited" | QUERIES: ["Ajanta Pharma Limited" official website] | CANDIDATES: [https://ajantapharma.com] | SELECTED: "https://ajantapharma.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:55:00.864Z] COMPANY: "Ajax Engineering Limited" | QUERIES: ["Ajax Engineering Limited" official website] | CANDIDATES: [https://ajax-engg.com] | SELECTED: "https://ajax-engg.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:55:15.736Z] COMPANY: "Ajmera Realty & Infra India Limited" | QUERIES: ["Ajmera Realty & Infra India Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:55:20.556Z] COMPANY: "Ajooni Biotech Limited" | QUERIES: ["Ajooni Biotech Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:55:27.693Z] COMPANY: "Akash Infra-Projects Limited" | QUERIES: ["Akash Infra-Projects Limited" official website] | CANDIDATES: [https://akashinfra.com] | SELECTED: "https://akashinfra.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-06T19:55:36.574Z] COMPANY: "AK Capital Services Limited" | QUERIES: ["AK Capital Services Limited" official website] | CANDIDATES: [https://Not Found] | SELECTED: "https://Not Found" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
