Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"11","Unassigned","Federal Bank Limited","https://www.federalbank.co.in","readymade-fallback","HIGH","NO","N/A","info@federalbank.co.in","[General Contact Email (Guessed Pattern)] info@federalbank.co.in; [Investor Grievance Email (Guessed Pattern)] contact@federalbank.co.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 31. Lighthouse A11y: 30/100."
"12","Unassigned","IndusInd Bank Limited","https://www.indusind.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"13","Unassigned","Bajaj Finance Limited","https://www.bajajfinserv.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"14","Unassigned","Bajaj Finserv Limited","https://www.bajajfinserv.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"15","Unassigned","HDFC Life Insurance Company Limited","https://www.hdfclife.com","readymade-fallback","HIGH","NO","N/A","buyonline@hdfclife.in","[Investor Grievance / Compliance Officer Email] service@hdfclife.com; [General Contact Email] buyonline@hdfclife.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 11. Lighthouse A11y: 56/100."
"16","Unassigned","SBI Life Insurance Company Limited","https://www.sbilife.co.in","readymade-fallback","HIGH","NO","N/A","info@sbilife.co.in","[Investor Grievance / Compliance Officer Email] investorrelations@sbilife.co.in; [General Contact Email] info@sbilife.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"17","Unassigned","ICICI Lombard General Insurance Company Limited","https://www.icicilombard.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"18","Unassigned","ICICI Prudential Life Insurance Company Limited","https://www.iciciprulife.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"19","Unassigned","HDFC Asset Management Company Limited","https://www.hdfcfund.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"20","Unassigned","Nippon Life India Asset Management Limited","https://mf.nipponindiaim.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"21","Unassigned","Tata Consultancy Services Limited","https://www.tcs.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"22","Unassigned","Infosys Limited","https://www.infosys.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"23","Unassigned","Wipro Limited","https://www.wipro.com","readymade-fallback","HIGH","NO","N/A","investor.relations@wipro.com","[General Contact Email] investor.relations@wipro.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 12. Lighthouse A11y: 52/100."
"24","Unassigned","HCL Technologies Limited","https://www.hcltech.com","readymade-fallback","HIGH","NO","N/A","info@hcltech.com","[General Contact Email (Guessed Pattern)] info@hcltech.com; [Investor Grievance Email (Guessed Pattern)] contact@hcltech.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"25","Unassigned","Tech Mahindra Limited","https://www.techmahindra.com","readymade-fallback","HIGH","NO","N/A","umesh.sharma@linkintime.co.in","[Investor Grievance / Compliance Officer Email] umesh.sharma@linkintime.co.in; [General Contact Email] umesh.sharma@linkintime.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 6. Lighthouse A11y: 76/100."
"26","Unassigned","LTIMindtree Limited","https://www.ltimindtree.com","readymade-fallback","HIGH","NO","N/A","info@ltimindtree.com","[General Contact Email (Guessed Pattern)] info@ltimindtree.com; [Investor Grievance Email (Guessed Pattern)] contact@ltimindtree.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"27","Unassigned","Persistent Systems Limited","https://www.persistent.com","readymade-fallback","HIGH","NO","N/A","info@persistent.com","[General Contact Email (Guessed Pattern)] info@persistent.com; [Investor Grievance Email (Guessed Pattern)] contact@persistent.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"28","Unassigned","Mphasis Limited","https://www.mphasis.com","readymade-fallback","HIGH","NO","N/A","N/A","[Investor Grievance / Compliance Officer Email] mayank.verma1@mphasis.com; [General Contact Email] ","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"29","Unassigned","Coforge Limited","https://www.coforge.com","readymade-fallback","HIGH","NO","N/A","info@coforge.com","[General Contact Email (Guessed Pattern)] info@coforge.com; [Investor Grievance Email (Guessed Pattern)] contact@coforge.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 28. Lighthouse A11y: 30/100."
"30","Unassigned","Oracle Financial Services Software Limited","https://www.oracle.com/in/financial-services/","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (akamai)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (akamai)"
"31","Unassigned","L&T Technology Services Limited","https://www.ltts.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"32","Unassigned","Tata Elxsi Limited","https://www.tataelxsi.com","readymade-fallback","HIGH","NO","N/A","info@tataelxsi.com","[General Contact Email] info@tataelxsi.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 37. Lighthouse A11y: 30/100."
"33","Unassigned","Reliance Jio / Jio Financial Services Limited","https://www.jfs.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (akamai)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (akamai)"
"34","Unassigned","Bharti Airtel Limited","https://www.airtel.in","readymade-fallback","HIGH","NO","N/A","info@airtel.in","[General Contact Email (Guessed Pattern)] info@airtel.in; [Investor Grievance Email (Guessed Pattern)] contact@airtel.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"35","Unassigned","Vodafone Idea Limited","https://www.myvi.in","readymade-fallback","HIGH","NO","N/A","customercare@vodafoneidea.com","[Investor Grievance / Compliance Officer Email] shs@vodafoneidea.com; [General Contact Email] customercare@vodafoneidea.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"36","Unassigned","Tata Communications Limited","https://www.tatacommunications.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"37","Unassigned","Eternal Limited / Zomato","https://www.zomato.com","readymade-fallback","HIGH","NO","N/A","info@zomato.com","[General Contact Email (Guessed Pattern)] info@zomato.com; [Investor Grievance Email (Guessed Pattern)] contact@zomato.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"38","Unassigned","One97 Communications Limited / Paytm","https://paytm.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"39","Unassigned","FSN E-Commerce Ventures Limited / Nykaa","https://www.nykaa.com","readymade-fallback","HIGH","NO","N/A","info@nykaa.com","[General Contact Email (Guessed Pattern)] info@nykaa.com; [Investor Grievance Email (Guessed Pattern)] contact@nykaa.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"40","Unassigned","Info Edge (India) Limited","https://www.infoedge.in","readymade-fallback","HIGH","NO","N/A","investors@naukri.com","[Investor Grievance / Compliance Officer Email] investors@naukri.com; [General Contact Email] investors@naukri.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 135. Lighthouse A11y: 30/100."
"41","Unassigned","IndiaMART InterMESH Limited","https://www.indiamart.com","readymade-fallback","HIGH","NO","N/A","customercare@indiamart.com","[General Contact Email] customercare@indiamart.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 51. Lighthouse A11y: 30/100."
"42","Unassigned","PB Fintech Limited / Policybazaar","https://www.policybazaar.com","readymade-fallback","HIGH","NO","N/A","info@policybazaar.com","[General Contact Email (Guessed Pattern)] info@policybazaar.com; [Investor Grievance Email (Guessed Pattern)] contact@policybazaar.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"43","Unassigned","Delhivery Limited","https://www.delhivery.com","readymade-fallback","HIGH","NO","N/A","info@delhivery.com","[General Contact Email (Guessed Pattern)] info@delhivery.com; [Investor Grievance Email (Guessed Pattern)] contact@delhivery.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 44. Lighthouse A11y: 30/100."
"44","Unassigned","Avenue Supermarts Limited","https://www.dmartindia.com","readymade-fallback","HIGH","NO","N/A","info@dmartindia.com","[General Contact Email (Guessed Pattern)] info@dmartindia.com; [Investor Grievance Email (Guessed Pattern)] contact@dmartindia.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 7. Lighthouse A11y: 72/100."
"45","Unassigned","Trent Limited","https://www.mywestside.com","readymade-fallback","HIGH","NO","N/A","westside@trent-tata.com","[General Contact Email] westside@trent-tata.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"46","Unassigned","Titan Company Limited","https://www.titancompany.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"47","Unassigned","Hindustan Unilever Limited","https://www.hul.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"48","Unassigned","ITC Limited","https://www.itcportal.com","readymade-fallback","HIGH","NO","N/A","contactus@itc.in","[General Contact Email] contactus@itc.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 24. Lighthouse A11y: 30/100."
"49","Unassigned","Nestle India Limited","https://www.nestle.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (just a moment...)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (just a moment...)"
"50","Unassigned","Britannia Industries Limited","https://www.britannia.co.in","readymade-fallback","HIGH","NO","N/A","feedback@britindia.com","[General Contact Email] feedback@britindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"51","Unassigned","Dabur India Limited","https://www.dabur.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"52","Unassigned","Marico Limited","https://marico.com","readymade-fallback","HIGH","NO","N/A","info@marico.com","[General Contact Email (Guessed Pattern)] info@marico.com; [Investor Grievance Email (Guessed Pattern)] contact@marico.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"53","Unassigned","Tata Consumer Products Limited","https://www.tataconsumer.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (incapsula)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (incapsula)"
"54","Unassigned","Apollo Hospitals Enterprise Limited","https://www.apollohospitals.com","readymade-fallback","HIGH","NO","N/A","info@apollohospitals.com","[General Contact Email (Guessed Pattern)] info@apollohospitals.com; [Investor Grievance Email (Guessed Pattern)] contact@apollohospitals.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"55","Unassigned","Fortis Healthcare Limited","https://www.fortishealthcare.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"56","Unassigned","Narayana Hrudayalaya Limited","https://www.narayanahealth.org","readymade-fallback","HIGH","NO","N/A","info@narayanahealth.org","[General Contact Email (Guessed Pattern)] info@narayanahealth.org; [Investor Grievance Email (Guessed Pattern)] contact@narayanahealth.org","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"57","Unassigned","Max Healthcare Institute Limited","https://www.maxhealthcare.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"58","Unassigned","Sun Pharmaceutical Industries Limited","https://sunpharma.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"59","Unassigned","Cipla Limited","https://www.cipla.com","readymade-fallback","HIGH","NO","N/A","info@cipla.com","[General Contact Email (Guessed Pattern)] info@cipla.com; [Investor Grievance Email (Guessed Pattern)] contact@cipla.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 25. Lighthouse A11y: 30/100."
"60","Unassigned","Dr. Reddy’s Laboratories Limited","https://www.drreddys.com","readymade-fallback","HIGH","NO","N/A","example@email.com","[General Contact Email] example@email.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"61","Unassigned","Lupin Limited","https://www.lupin.com","readymade-fallback","HIGH","NO","N/A","info@lupin.com","[General Contact Email] info@lupin.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"62","Unassigned","Aurobindo Pharma Limited","https://www.aurobindo.com","readymade-fallback","HIGH","NO","N/A","Life@aurobindo2.webp","[Investor Grievance / Compliance Officer Email] Life@aurobindo2.webp; [General Contact Email] Life@aurobindo2.webp","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 8. Lighthouse A11y: 68/100."
"63","Unassigned","Biocon Limited","https://www.biocon.com","readymade-fallback","HIGH","NO","N/A","info@biocon.com","[General Contact Email] info@biocon.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 16. Lighthouse A11y: 36/100."
"64","Unassigned","Mankind Pharma Limited","https://www.mankindpharma.com","readymade-fallback","HIGH","NO","N/A","info@mankindpharma.com","[General Contact Email (Guessed Pattern)] info@mankindpharma.com; [Investor Grievance Email (Guessed Pattern)] contact@mankindpharma.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"65","Unassigned","Alkem Laboratories Limited","https://www.alkemlabs.com","readymade-fallback","HIGH","NO","N/A","info@alkemlabs.com","[General Contact Email (Guessed Pattern)] info@alkemlabs.com; [Investor Grievance Email (Guessed Pattern)] contact@alkemlabs.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 21. Lighthouse A11y: 30/100."
"66","Unassigned","Reliance Retail / Reliance Industries Limited","https://relianceretail.com","readymade-fallback","HIGH","NO","N/A","customerservice@ril.com","[Investor Grievance / Compliance Officer Email] rrvl.investor@kfintech.com; [General Contact Email] customerservice@ril.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"67","Unassigned","Tata Motors Limited","https://www.tatamotors.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"68","Unassigned","Mahindra & Mahindra Limited","https://www.mahindra.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"69","Unassigned","Maruti Suzuki India Limited","https://www.marutisuzuki.com","readymade-fallback","HIGH","NO","N/A","info@marutisuzuki.com","[General Contact Email (Guessed Pattern)] info@marutisuzuki.com; [Investor Grievance Email (Guessed Pattern)] contact@marutisuzuki.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"70","Unassigned","Bajaj Auto Limited","https://www.bajajauto.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"71","Unassigned","TVS Motor Company Limited","https://www.tvsmotor.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"72","Unassigned","Eicher Motors Limited","https://www.eichermotors.com","readymade-fallback","HIGH","NO","N/A","info@eichermotors.com","[General Contact Email (Guessed Pattern)] info@eichermotors.com; [Investor Grievance Email (Guessed Pattern)] contact@eichermotors.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"73","Unassigned","Hyundai Motor India Limited","https://www.hyundai.com/in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"74","Unassigned","Larsen & Toubro Limited","https://www.larsentoubro.com","readymade-fallback","HIGH","NO","N/A","infodesk@larsentoubro.com","[General Contact Email] infodesk@larsentoubro.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"75","Unassigned","Siemens Limited","https://www.siemens.com/in/en.html","readymade-fallback","HIGH","NO","N/A","info@siemens.com","[General Contact Email (Guessed Pattern)] info@siemens.com; [Investor Grievance Email (Guessed Pattern)] contact@siemens.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 14. Lighthouse A11y: 44/100."
"76","Unassigned","ABB India Limited","https://new.abb.com/indian-subcontinent","readymade-fallback","HIGH","NO","N/A","info@new.abb.com","[General Contact Email (Guessed Pattern)] info@new.abb.com; [Investor Grievance Email (Guessed Pattern)] contact@new.abb.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"77","Unassigned","Bosch Limited","https://www.bosch.in","readymade-fallback","HIGH","NO","N/A","info@bosch.in","[General Contact Email (Guessed Pattern)] info@bosch.in; [Investor Grievance Email (Guessed Pattern)] contact@bosch.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"78","Unassigned","Cummins India Limited","https://www.cummins.com/en/in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"79","Unassigned","Bharat Electronics Limited","https://bel-india.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"80","Unassigned","Hindustan Aeronautics Limited","https://hal-india.co.in","readymade-fallback","HIGH","NO","N/A","info@hal-india.co.in","[General Contact Email (Guessed Pattern)] info@hal-india.co.in; [Investor Grievance Email (Guessed Pattern)] contact@hal-india.co.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 21. Lighthouse A11y: 30/100."
"81","Unassigned","NTPC Limited","https://www.ntpc.co.in","readymade-fallback","HIGH","NO","N/A","info@ntpc.co.in","[General Contact Email (Guessed Pattern)] info@ntpc.co.in; [Investor Grievance Email (Guessed Pattern)] contact@ntpc.co.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"82","Unassigned","Power Grid Corporation of India Limited","https://www.powergrid.in","readymade-fallback","HIGH","NO","N/A","info@powergrid.in","[General Contact Email (Guessed Pattern)] info@powergrid.in; [Investor Grievance Email (Guessed Pattern)] contact@powergrid.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"83","Unassigned","Tata Power Company Limited","https://www.tatapower.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
