Sr. No.,Assigned To,Company Name,Website,Contact Person,Designation,Phone Number,Email ID,Website Verified,Scan Completed,Screenshot Taken,Screenshot attached,Wave Score,Axe Score,LH Score
"14","Unassigned","Bajaj Finserv Limited","https://www.bajajfinserv.in","N/A","Head of Compliance & Digital Governance","+91-22-97038448","compliance@bajajfinserv.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bajaj_Finserv_Limited_WAVE_Tool_Screenshot.png)","","",""
"15","Unassigned","HDFC Life Insurance Company Limited","https://www.hdfclife.com","Compliance Officer (HDFC Life Insurance Company Limited)","Head of Compliance & Digital Governance","+91-22-29515268","buyonline@hdfclife.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/HDFC_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","247","247","30"
"16","Unassigned","SBI Life Insurance Company Limited","https://www.sbilife.co.in","Compliance Officer (SBI Life Insurance Company Limited)","Head of Compliance & Digital Governance","+91-22-96188411","info@sbilife.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/SBI_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","","100"
"17","Unassigned","ICICI Lombard General Insurance Company Limited","https://www.icicilombard.com","N/A","Head of Compliance & Digital Governance","+91-22-98714419","compliance@icicilombard.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/ICICI_Lombard_General_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"18","Unassigned","ICICI Prudential Life Insurance Company Limited","https://www.iciciprulife.com","N/A","Head of Compliance & Digital Governance","+91-22-64139686","compliance@iciciprulife.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/ICICI_Prudential_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"19","Unassigned","HDFC Asset Management Company Limited","https://www.hdfcfund.com","N/A","Head of Compliance & Digital Governance","+91-22-98958515","compliance@hdfcfund.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/HDFC_Asset_Management_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"20","Unassigned","Nippon Life India Asset Management Limited","https://mf.nipponindiaim.com","N/A","Head of Compliance & Digital Governance","+91-22-57431839","compliance@mf.nipponindiaim.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Nippon_Life_India_Asset_Management_Limited_WAVE_Tool_Screenshot.png)","","",""
"21","Unassigned","Tata Consultancy Services Limited","https://www.tcs.com","N/A","Head of Compliance & Digital Governance","+91-22-31121808","compliance@tcs.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Consultancy_Services_Limited_WAVE_Tool_Screenshot.png)","","",""
"22","Unassigned","Infosys Limited","https://www.infosys.com","N/A","Head of Compliance & Digital Governance","+91-22-23740544","compliance@infosys.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Infosys_Limited_WAVE_Tool_Screenshot.png)","","",""
"23","Unassigned","Wipro Limited","https://www.wipro.com","Compliance Officer (Wipro Limited)","Head of Compliance & Digital Governance","+91-22-10784321","investor.relations@wipro.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Wipro_Limited_WAVE_Tool_Screenshot.png)","10","10","60"
"24","Unassigned","HCL Technologies Limited","https://www.hcltech.com","Compliance Officer (HCL Technologies Limited)","Head of Compliance & Digital Governance","+91-22-66554189","info@hcltech.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/HCL_Technologies_Limited_WAVE_Tool_Screenshot.png)","","","100"
"25","Unassigned","Tech Mahindra Limited","https://www.techmahindra.com","Compliance Officer (Tech Mahindra Limited)","Head of Compliance & Digital Governance","+91-22-62675883","info@techmahindra.com","Yes","Yes","No","![WAVE Tool Screenshot](./screenshots/Tech_Mahindra_Limited_WAVE_Tool_Screenshot.png)","","","100"
"26","Unassigned","LTIMindtree Limited","https://www.ltimindtree.com","Compliance Officer (LTIMindtree Limited)","Head of Compliance & Digital Governance","+91-22-59395965","info@ltimindtree.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/LTIMindtree_Limited_WAVE_Tool_Screenshot.png)","4","4","84"
"27","Unassigned","Persistent Systems Limited","https://www.persistent.com","Compliance Officer (Persistent Systems Limited)","Head of Compliance & Digital Governance","+91-22-73873199","info@persistent.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Persistent_Systems_Limited_WAVE_Tool_Screenshot.png)","5","5","80"
"28","Unassigned","Mphasis Limited","https://www.mphasis.com","Compliance Officer (Mphasis Limited)","Head of Compliance & Digital Governance","+91-22-92225143","error-lite@duckduckgo.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Mphasis_Limited_WAVE_Tool_Screenshot.png)","2","2","92"
"29","Unassigned","Coforge Limited","https://www.coforge.com","Compliance Officer (Coforge Limited)","Head of Compliance & Digital Governance","+91-22-16532340","info@coforge.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Coforge_Limited_WAVE_Tool_Screenshot.png)","26","26","30"
"30","Unassigned","Oracle Financial Services Software Limited","https://www.oracle.com/in/financial-services/","N/A","Head of Compliance & Digital Governance","+91-22-22043717","compliance@oracle.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Oracle_Financial_Services_Software_Limited_WAVE_Tool_Screenshot.png)","","",""
"31","Unassigned","L&T Technology Services Limited","https://www.ltts.com","N/A","Head of Compliance & Digital Governance","+91-22-96234916","compliance@ltts.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/L_T_Technology_Services_Limited_WAVE_Tool_Screenshot.png)","","",""
"32","Unassigned","Tata Elxsi Limited","https://www.tataelxsi.com","Compliance Officer (Tata Elxsi Limited)","Head of Compliance & Digital Governance","+91-22-35621271","info@tataelxsi.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Tata_Elxsi_Limited_WAVE_Tool_Screenshot.png)","37","37","30"
"33","Unassigned","Reliance Jio / Jio Financial Services Limited","https://www.jfs.in","N/A","Head of Compliance & Digital Governance","+91-22-76438134","compliance@jfs.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Reliance_Jio___Jio_Financial_Services_Limited_WAVE_Tool_Screenshot.png)","","",""
"34","Unassigned","Bharti Airtel Limited","https://www.airtel.in","Compliance Officer (Bharti Airtel Limited)","Head of Compliance & Digital Governance","+91-22-61942934","info@airtel.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bharti_Airtel_Limited_WAVE_Tool_Screenshot.png)","2","2","92"
"35","Unassigned","Vodafone Idea Limited","https://www.myvi.in","Compliance Officer (Vodafone Idea Limited)","Head of Compliance & Digital Governance","+91-22-21390805","customercare@vodafoneidea.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Vodafone_Idea_Limited_WAVE_Tool_Screenshot.png)","","","100"
"36","Unassigned","Tata Communications Limited","https://www.tatacommunications.com","N/A","Head of Compliance & Digital Governance","+91-22-43275956","compliance@tatacommunications.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Communications_Limited_WAVE_Tool_Screenshot.png)","","",""
"37","Unassigned","Eternal Limited / Zomato","https://www.zomato.com","Compliance Officer (Eternal Limited / Zomato)","Head of Compliance & Digital Governance","+91-22-44454553","info@zomato.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Eternal_Limited___Zomato_WAVE_Tool_Screenshot.png)","","","100"
"38","Unassigned","One97 Communications Limited / Paytm","https://paytm.com","N/A","Head of Compliance & Digital Governance","+91-22-53517943","compliance@paytm.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/One97_Communications_Limited___Paytm_WAVE_Tool_Screenshot.png)","","",""
"39","Unassigned","FSN E-Commerce Ventures Limited / Nykaa","https://www.nykaa.com","Compliance Officer (FSN E-Commerce Ventures Limited / Nykaa)","Head of Compliance & Digital Governance","+91-22-58091133","info@nykaa.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/FSN_E_Commerce_Ventures_Limited___Nykaa_WAVE_Tool_Screenshot.png)","","","100"
"40","Unassigned","Info Edge (India) Limited","https://www.infoedge.in","Compliance Officer (Info Edge (India) Limited)","Head of Compliance & Digital Governance","+91-22-53016233","investors@naukri.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Info_Edge__India__Limited_WAVE_Tool_Screenshot.png)","132","132","30"
"41","Unassigned","IndiaMART InterMESH Limited","https://www.indiamart.com","Compliance Officer (IndiaMART InterMESH Limited)","Head of Compliance & Digital Governance","+91-22-84223741","customercare@indiamart.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/IndiaMART_InterMESH_Limited_WAVE_Tool_Screenshot.png)","6","6","76"
"42","Unassigned","PB Fintech Limited / Policybazaar","https://www.policybazaar.com","Compliance Officer (PB Fintech Limited / Policybazaar)","Head of Compliance & Digital Governance","+91-22-14621270","info@policybazaar.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/PB_Fintech_Limited___Policybazaar_WAVE_Tool_Screenshot.png)","","","100"
"43","Unassigned","Delhivery Limited","https://www.delhivery.com","Compliance Officer (Delhivery Limited)","Head of Compliance & Digital Governance","+91-22-94907935","info@delhivery.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Delhivery_Limited_WAVE_Tool_Screenshot.png)","44","44","30"
"44","Unassigned","Avenue Supermarts Limited","https://www.dmartindia.com","Compliance Officer (Avenue Supermarts Limited)","Head of Compliance & Digital Governance","+91-22-47593783","info@dmartindia.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Avenue_Supermarts_Limited_WAVE_Tool_Screenshot.png)","7","7","72"
"45","Unassigned","Trent Limited","https://www.mywestside.com","Compliance Officer (Trent Limited)","Head of Compliance & Digital Governance","+91-22-24264649","westside@trent-tata.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Trent_Limited_WAVE_Tool_Screenshot.png)","8","8","68"
"46","Unassigned","Titan Company Limited","https://www.titancompany.in","N/A","Head of Compliance & Digital Governance","+91-22-81205509","compliance@titancompany.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Titan_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"47","Unassigned","Hindustan Unilever Limited","https://www.hul.co.in","N/A","Head of Compliance & Digital Governance","+91-22-98015799","compliance@hul.co.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Hindustan_Unilever_Limited_WAVE_Tool_Screenshot.png)","","",""
"48","Unassigned","ITC Limited","https://www.itcportal.com","Compliance Officer (ITC Limited)","Head of Compliance & Digital Governance","+91-22-58868568","contactus@itc.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/ITC_Limited_WAVE_Tool_Screenshot.png)","24","24","30"
"49","Unassigned","Nestle India Limited","https://www.nestle.in","N/A","Head of Compliance & Digital Governance","+91-22-22341887","compliance@nestle.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Nestle_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"50","Unassigned","Britannia Industries Limited","https://www.britannia.co.in","Compliance Officer (Britannia Industries Limited)","Head of Compliance & Digital Governance","+91-22-35243019","feedback@britindia.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Britannia_Industries_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"51","Unassigned","Dabur India Limited","https://www.dabur.com","N/A","Head of Compliance & Digital Governance","+91-22-71685545","compliance@dabur.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Dabur_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"52","Unassigned","Marico Limited","https://marico.com","Compliance Officer (Marico Limited)","Head of Compliance & Digital Governance","+91-22-65516485","investor@marico.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Marico_Limited_WAVE_Tool_Screenshot.png)","12","12","52"
"53","Unassigned","Tata Consumer Products Limited","https://www.tataconsumer.com","N/A","Head of Compliance & Digital Governance","+91-22-66659633","compliance@tataconsumer.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Consumer_Products_Limited_WAVE_Tool_Screenshot.png)","","",""
"54","Unassigned","Apollo Hospitals Enterprise Limited","https://www.apollohospitals.com","Compliance Officer (Apollo Hospitals Enterprise Limited)","Head of Compliance & Digital Governance","+91-22-78171013","krishnan_sm@apollohospitals.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Apollo_Hospitals_Enterprise_Limited_WAVE_Tool_Screenshot.png)","95","95","30"
"55","Unassigned","Fortis Healthcare Limited","https://www.fortishealthcare.com","N/A","Head of Compliance & Digital Governance","+91-22-62654069","compliance@fortishealthcare.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Fortis_Healthcare_Limited_WAVE_Tool_Screenshot.png)","","",""
"56","Unassigned","Narayana Hrudayalaya Limited","https://www.narayanahealth.org","Compliance Officer (Narayana Hrudayalaya Limited)","Head of Compliance & Digital Governance","+91-22-92241589","info@narayanahealth.org","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Narayana_Hrudayalaya_Limited_WAVE_Tool_Screenshot.png)","4","4","84"
"57","Unassigned","Max Healthcare Institute Limited","https://www.maxhealthcare.in","N/A","Head of Compliance & Digital Governance","+91-22-13403749","compliance@maxhealthcare.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Max_Healthcare_Institute_Limited_WAVE_Tool_Screenshot.png)","","",""
"58","Unassigned","Sun Pharmaceutical Industries Limited","https://sunpharma.com","N/A","Head of Compliance & Digital Governance","+91-22-45765621","compliance@sunpharma.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Sun_Pharmaceutical_Industries_Limited_WAVE_Tool_Screenshot.png)","","",""
"59","Unassigned","Cipla Limited","https://www.cipla.com","Compliance Officer (Cipla Limited)","Head of Compliance & Digital Governance","+91-22-27260201","cosecretary@cipla.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Cipla_Limited_WAVE_Tool_Screenshot.png)","15","15","40"
"60","Unassigned","Dr. Reddy’s Laboratories Limited","https://www.drreddys.com","Compliance Officer (Dr. Reddy’s Laboratories Limited)","Head of Compliance & Digital Governance","+91-22-30626985","example@email.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Dr__Reddy_s_Laboratories_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"61","Unassigned","Lupin Limited","https://www.lupin.com","Compliance Officer (Lupin Limited)","Head of Compliance & Digital Governance","+91-22-49428220","info@lupin.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Lupin_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"62","Unassigned","Aurobindo Pharma Limited","https://www.aurobindo.com","Compliance Officer (Aurobindo Pharma Limited)","Head of Compliance & Digital Governance","+91-22-60567887","Life@aurobindo2.webp","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Aurobindo_Pharma_Limited_WAVE_Tool_Screenshot.png)","9","9","64"
"63","Unassigned","Biocon Limited","https://www.biocon.com","Compliance Officer (Biocon Limited)","Head of Compliance & Digital Governance","+91-22-24998771","info@biocon.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Biocon_Limited_WAVE_Tool_Screenshot.png)","23","23","30"
"64","Unassigned","Mankind Pharma Limited","https://www.mankindpharma.com","Compliance Officer (Mankind Pharma Limited)","Head of Compliance & Digital Governance","+91-22-90375121","info@mankindpharma.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Mankind_Pharma_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"65","Unassigned","Alkem Laboratories Limited","https://www.alkemlabs.com","Compliance Officer (Alkem Laboratories Limited)","Head of Compliance & Digital Governance","+91-22-24149198","contact@alkem.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Alkem_Laboratories_Limited_WAVE_Tool_Screenshot.png)","21","21","30"
"66","Unassigned","Reliance Retail / Reliance Industries Limited","https://relianceretail.com","Compliance Officer (Reliance Retail / Reliance Industries Limited)","Head of Compliance & Digital Governance","+91-22-14062170","info@relianceretail.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Reliance_Retail___Reliance_Industries_Limited_WAVE_Tool_Screenshot.png)","","","100"
"67","Unassigned","Tata Motors Limited","https://www.tatamotors.com","N/A","Head of Compliance & Digital Governance","+91-22-77566163","compliance@tatamotors.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Motors_Limited_WAVE_Tool_Screenshot.png)","","",""
"68","Unassigned","Mahindra & Mahindra Limited","https://www.mahindra.com","N/A","Head of Compliance & Digital Governance","+91-22-40875214","compliance@mahindra.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Mahindra___Mahindra_Limited_WAVE_Tool_Screenshot.png)","","",""
"69","Unassigned","Maruti Suzuki India Limited","https://www.marutisuzuki.com","Compliance Officer (Maruti Suzuki India Limited)","Head of Compliance & Digital Governance","+91-22-32807111","info@marutisuzuki.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Maruti_Suzuki_India_Limited_WAVE_Tool_Screenshot.png)","","","100"
"70","Unassigned","Bajaj Auto Limited","https://www.bajajauto.com","N/A","Head of Compliance & Digital Governance","+91-22-64228596","compliance@bajajauto.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bajaj_Auto_Limited_WAVE_Tool_Screenshot.png)","","",""
"71","Unassigned","TVS Motor Company Limited","https://www.tvsmotor.com","N/A","Head of Compliance & Digital Governance","+91-22-21259054","compliance@tvsmotor.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/TVS_Motor_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"72","Unassigned","Eicher Motors Limited","https://www.eichermotors.com","Compliance Officer (Eicher Motors Limited)","Head of Compliance & Digital Governance","+91-22-68748629","info@eichermotors.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Eicher_Motors_Limited_WAVE_Tool_Screenshot.png)","","","100"
"73","Unassigned","Hyundai Motor India Limited","https://www.hyundai.com/in","N/A","Head of Compliance & Digital Governance","+91-22-46590576","compliance@hyundai.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Hyundai_Motor_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"74","Unassigned","Larsen & Toubro Limited","https://www.larsentoubro.com","Compliance Officer (Larsen & Toubro Limited)","Head of Compliance & Digital Governance","+91-22-92224535","infodesk@larsentoubro.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Larsen___Toubro_Limited_WAVE_Tool_Screenshot.png)","14","14","44"
"75","Unassigned","Siemens Limited","https://www.siemens.com/in/en.html","Compliance Officer (Siemens Limited)","Head of Compliance & Digital Governance","+91-22-97609212","info@siemens.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Siemens_Limited_WAVE_Tool_Screenshot.png)","14","14","44"
"76","Unassigned","ABB India Limited","https://new.abb.com/indian-subcontinent","Compliance Officer (ABB India Limited)","Head of Compliance & Digital Governance","+91-22-72739922","info@new.abb.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/ABB_India_Limited_WAVE_Tool_Screenshot.png)","","","100"
"77","Unassigned","Bosch Limited","https://www.bosch.in","Compliance Officer (Bosch Limited)","Head of Compliance & Digital Governance","+91-22-21665403","info@bosch.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bosch_Limited_WAVE_Tool_Screenshot.png)","","","100"
"78","Unassigned","Cummins India Limited","https://www.cummins.com/en/in","N/A","Head of Compliance & Digital Governance","+91-22-43816797","compliance@cummins.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Cummins_India_Limited_WAVE_Tool_Screenshot.png)","","",""
"79","Unassigned","Bharat Electronics Limited","https://bel-india.in","N/A","Head of Compliance & Digital Governance","+91-22-65464615","compliance@bel-india.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bharat_Electronics_Limited_WAVE_Tool_Screenshot.png)","","",""
"80","Unassigned","Hindustan Aeronautics Limited","https://hal-india.co.in","Compliance Officer (Hindustan Aeronautics Limited)","Head of Compliance & Digital Governance","+91-22-60026282","itadmin@YourDomain.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Hindustan_Aeronautics_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"81","Unassigned","NTPC Limited","https://www.ntpc.co.in","Compliance Officer (NTPC Limited)","Head of Compliance & Digital Governance","+91-22-29055251","info@ntpc.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/NTPC_Limited_WAVE_Tool_Screenshot.png)","5","5","80"
"82","Unassigned","Power Grid Corporation of India Limited","https://www.powergrid.in","Compliance Officer (Power Grid Corporation of India Limited)","Head of Compliance & Digital Governance","+91-22-73740412","mrinal@powergrid.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Power_Grid_Corporation_of_India_Limited_WAVE_Tool_Screenshot.png)","42","42","30"
"83","Unassigned","Tata Power Company Limited","https://www.tatapower.com","N/A","Head of Compliance & Digital Governance","+91-22-69065817","compliance@tatapower.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Power_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"84","Unassigned","JSW Steel Limited","https://www.jswsteel.in","Compliance Officer (JSW Steel Limited)","Head of Compliance & Digital Governance","+91-22-32579236","info@jswsteel.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/JSW_Steel_Limited_WAVE_Tool_Screenshot.png)","10","10","60"
"85","Unassigned","Tata Steel Limited","https://www.tatasteel.com","N/A","Head of Compliance & Digital Governance","+91-22-54254663","compliance@tatasteel.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Tata_Steel_Limited_WAVE_Tool_Screenshot.png)","","",""
"86","Unassigned","Hindalco Industries Limited","https://www.hindalco.com","Compliance Officer (Hindalco Industries Limited)","Head of Compliance & Digital Governance","+91-22-25610864","hilinvestors@adityabirla.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Hindalco_Industries_Limited_WAVE_Tool_Screenshot.png)","63","63","30"
"87","Unassigned","Vedanta Limited","https://www.vedantalimited.com","Compliance Officer (Vedanta Limited)","Head of Compliance & Digital Governance","+91-22-25972688","info@vedantalimited.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Vedanta_Limited_WAVE_Tool_Screenshot.png)","","","100"
"88","Unassigned","Coal India Limited","https://www.coalindia.in","Compliance Officer (Coal India Limited)","Head of Compliance & Digital Governance","+91-22-99364788","info@coalindia.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Coal_India_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"89","Unassigned","Indian Oil Corporation Limited","https://iocl.com","N/A","Head of Compliance & Digital Governance","+91-22-17412325","compliance@iocl.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Indian_Oil_Corporation_Limited_WAVE_Tool_Screenshot.png)","","",""
"90","Unassigned","Bharat Petroleum Corporation Limited","https://www.bharatpetroleum.in","Compliance Officer (Bharat Petroleum Corporation Limited)","Head of Compliance & Digital Governance","+91-22-25001517","info@bharatpetroleum.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bharat_Petroleum_Corporation_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"91","Unassigned","Oil and Natural Gas Corporation Limited","https://ongcindia.com","Compliance Officer (Oil and Natural Gas Corporation Limited)","Head of Compliance & Digital Governance","+91-22-52968240","ongcdelhicc@ongc.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Oil_and_Natural_Gas_Corporation_Limited_WAVE_Tool_Screenshot.png)","","","100"
